"year","player","pos","value","pick"
2012,"Aaron Hernandez","TE",18,3
2010,"Aaron Rodgers","QB",86,1
2013,"Aaron Rodgers","QB",106,2
2014,"Aaron Rodgers","QB",109,3
2015,"Aaron Rodgers","QB",104,2
2010,"Adrian Peterson","RB",107,2
2011,"Adrian Peterson","RB",102,1
2012,"Adrian Peterson","RB",66,11
2014,"Adrian Peterson","RB",97,2
2010,"Ahmad Bradshaw","RB",1,27
2012,"Ahmad Bradshaw","RB",55,19
2013,"Ahmad Bradshaw","RB",20,28
2014,"Ahmad Bradshaw","RB",1,47
2011,"A.J. Green","WR",11,36
2014,"A.J. Green","WR",81,4
2015,"A.J. Green","WR",80,7
2010,"Alex Smith","QB",2,19
2013,"Alex Smith","QB",10,22
2015,"Alfred Blue","RB",10,33
2015,"Allen Robinson","WR",29,27
2013,"Alshon Jeffery","WR",4,47
2015,"Alshon Jeffery","WR",44,11.5
2015,"Amari Cooper","WR",20,19
2015,"Ameer Abdullah","RB",11,22
2013,"Andre Brown","RB",1,50
2014,"Andre Ellington","RB",37,13
2015,"Andre Ellington","RB",15,25
2010,"Andre Johnson","WR",209,1
2011,"Andre Johnson","WR",71,1
2012,"Andre Johnson","WR",47,6
2014,"Andre Johnson","WR",46,19
2015,"Andre Johnson","WR",20,17
2013,"Andre Roberts","WR",1,64
2014,"Andre Williams","RB",2,43
2015,"Andre Williams","RB",1,54
2012,"Andrew Luck","QB",31,16
2013,"Andy Dalton","QB",20,15
2014,"Andy Dalton","QB",28,16
2015,"Andy Dalton","QB",8,24
2010,"Anquan Boldin","WR",28,13
2011,"Anquan Boldin","WR",28,22
2012,"Anquan Boldin","WR",18,34
2013,"Anquan Boldin","WR",18,33
2014,"Anquan Boldin","WR",4,45
2015,"Anquan Boldin","WR",6,45
2010,"Anthony Gonzalez","WR",1,45
2011,"Antonio Brown","WR",3,50
2013,"Antonio Brown","WR",30,22
2014,"Antonio Brown","WR",57,8
2015,"Antonio Brown","WR",77,2
2010,"Antonio Gates","TE",24,2
2011,"Antonio Gates","TE",41,1
2012,"Antonio Gates","TE",21,4
2013,"Antonio Gates","TE",9,8
2010,"Arian Foster","RB",2,16
2015,"Arian Foster","RB",23,19
2011,"Austin Collie","WR",17,29
2010,"Beanie Wells","RB",40,21
2011,"Beanie Wells","RB",25,25
2012,"Beanie Wells","RB",18,35
2011,"BenJarvus Green-Ellis","RB",23,28
2012,"BenJarvus Green-Ellis","RB",22,22
2013,"BenJarvus Green-Ellis","RB",6,36
2010,"Ben Roethlisberger","QB",7,16
2014,"Ben Roethlisberger","QB",36,17
2015,"Ben Roethlisberger","QB",70,5
2012,"Ben Tate","RB",10,32
2013,"Ben Tate","RB",4,33
2014,"Ben Tate","RB",43,25
2010,"Bernard Berrian","WR",1,44
2013,"Bernard Pierce","RB",4,40
2014,"Bernard Pierce","RB",1,38
2010,"Bernard Scott","RB",2,53
2014,"Bishop Sankey","RB",5,27
2015,"Bishop Sankey","RB",1,41
2014,"Brandin Cooks","WR",13,30
2015,"Brandin Cooks","WR",37,10
2010,"Brandon Jacobs","RB",16,33
2011,"Brandon Jacobs","RB",4,35
2012,"Brandon Lloyd","WR",29,19
2010,"Brandon Marshall","WR",47,7
2011,"Brandon Marshall","WR",33,15
2012,"Brandon Marshall","WR",40,4
2013,"Brandon Marshall","WR",45,5
2014,"Brandon Marshall","WR",74,6
2015,"Brandon Marshall","WR",20,22
2013,"Brandon Myers","TE",8,14
2011,"Brandon Pettigrew","TE",12,14
2012,"Brandon Pettigrew","TE",27,7
2013,"Brandon Pettigrew","TE",1,16
2010,"Braylon Edwards","WR",9,40
2011,"Braylon Edwards","WR",3,43
2010,"Brent Celek","TE",18,6
2012,"Brent Celek","TE",1,17
2010,"Brett Favre","QB",40,11
2015,"Brian Quick","WR",3,44
2013,"Bryce Brown","RB",8,38
2010,"Calvin Johnson","WR",49,4
2011,"Calvin Johnson","WR",70,2
2013,"Calvin Johnson","WR",79,1
2014,"Calvin Johnson","WR",78,1
2015,"Calvin Johnson","WR",76,6
2011,"Cam Newton","QB",1,24
2014,"Carlos Hyde","RB",9,37
2010,"Carson Palmer","QB",6,14
2013,"Carson Palmer","QB",24,17
2014,"Carson Palmer","QB",23,18
2015,"Carson Palmer","QB",10,17
2014,"Cecil Shorts","WR",14,52
2010,"Cedric Benson","RB",46,14
2011,"Cedric Benson","RB",19,27
2012,"Cedric Benson","RB",7,25
2010,"Chad Henne","QB",8,18
2010,"Chad Johnson","WR",28,17
2011,"Chad Johnson","WR",29,19
2014,"Charles Clay","TE",1,16
2015,"Charles Johnson","WR",21,29
2015,"Charles Sims","RB",1,56
2010,"Chester Taylor","RB",1,47
2010,"Chris Cooley","TE",10,9
2011,"Chris Cooley","TE",1,20
2013,"Chris Givens","WR",3,37
2013,"Chris Ivory","RB",16,31
2014,"Chris Ivory","RB",1,51
2015,"Chris Ivory","RB",16,21
2010,"Chris Johnson","RB",114,1
2011,"Chris Johnson","RB",95,4
2012,"Chris Johnson","RB",74,5
2013,"Chris Johnson","RB",60,13
2014,"Chris Johnson","RB",7,26
2013,"Christine Michael","RB",1,48
2010,"C.J. Spiller","RB",17,25
2011,"C.J. Spiller","RB",1,43
2012,"C.J. Spiller","RB",10,40
2013,"C.J. Spiller","RB",96,5
2014,"C.J. Spiller","RB",35,20
2015,"C.J. Spiller","RB",6,29
2010,"Clinton Portis","RB",1,36
2012,"Coby Fleener","TE",1,16
2015,"Cody Latimer","WR",1,60
2015,"Colin Kaepernick","QB",31,19
2011,"Colt McCoy","QB",10,21
2014,"Cordarrelle Patterson","WR",30,12
2010,"Dallas Clark","TE",22,1
2011,"Dallas Clark","TE",30,4
2011,"Daniel Thomas","RB",20,34
2012,"Daniel Thomas","RB",4,46
2011,"Danny Amendola","WR",2,38
2013,"Danny Amendola","WR",18,13
2014,"Danny Amendola","WR",4,49
2011,"Danny Woodhead","RB",3,45.5
2014,"Danny Woodhead","RB",2,39
2015,"Danny Woodhead","RB",1,39
2010,"Darren McFadden","RB",8,42
2012,"Darren McFadden","RB",48,4
2013,"Darren McFadden","RB",35,23
2014,"Darren McFadden","RB",1,46
2015,"Darren McFadden","RB",5,34
2010,"Darren Sproles","RB",1,43
2012,"Darren Sproles","RB",26,17
2013,"Darren Sproles","RB",31,22
2014,"Darren Sproles","RB",1,33
2012,"Darrius Heyward-Bey","WR",3,36
2013,"Darrius Heyward-Bey","WR",1,51
2013,"Daryl Richardson","RB",20,25
2015,"Davante Adams","WR",42,15
2010,"David Garrard","QB",2,27
2015,"David Johnson","RB",1,47
2012,"David Wilson","RB",6,29
2013,"DeAndre Hopkins","WR",2,42
2014,"DeAndre Hopkins","WR",5,47
2015,"DeAndre Hopkins","WR",42,14
2010,"DeAngelo Williams","RB",53,10
2011,"DeAngelo Williams","RB",40,23
2012,"DeAngelo Williams","RB",8,31
2013,"DeAngelo Williams","RB",13,29
2014,"DeAngelo Williams","RB",2,45
2015,"DeAngelo Williams","RB",8,49
2011,"Deion Branch","WR",1,55
2015,"Delanie Walker","TE",3,10
2012,"DeMarco Murray","RB",69,7
2013,"DeMarco Murray","RB",32,19
2014,"DeMarco Murray","RB",71,8
2015,"DeMarco Murray","RB",69,8
2012,"Denarius Moore","WR",14,42
2013,"Denarius Moore","WR",4,55
2014,"Dennis Pitta","TE",4,9
2015,"Derek Carr","QB",17,25
2010,"Derrick Mason","WR",7,39
2010,"DeSean Jackson","WR",35,10
2011,"DeSean Jackson","WR",37,9
2012,"DeSean Jackson","WR",37,21
2013,"DeSean Jackson","WR",26,23
2014,"DeSean Jackson","WR",26,23
2015,"DeSean Jackson","WR",13,30
2015,"DeVante Parker","WR",2,47
2010,"Devery Henderson","WR",1,63
2010,"Devin Aromashodu","WR",1,37
2015,"Devin Funchess","WR",13,38
2015,"Devonta Freeman","RB",1,42
2010,"Dez Bryant","WR",13,31
2011,"Dez Bryant","WR",46,14
2012,"Dez Bryant","WR",36,13
2013,"Dez Bryant","WR",58,2
2014,"Dez Bryant","WR",78,3
2015,"Dez Bryant","WR",84,1
2010,"Donald Brown","RB",5,40
2012,"Donald Brown","RB",7,27
2010,"Donald Driver","WR",22,25
2011,"Donald Driver","WR",1,49
2010,"Donovan McNabb","QB",7,15
2011,"Donovan McNabb","QB",13,20
2012,"Doug Martin","RB",10,15
2014,"Doug Martin","RB",73,10
2015,"Doug Martin","RB",11,18
2010,"Drew Brees","QB",78,2
2011,"Drew Brees","QB",76,5
2012,"Drew Brees","QB",102,3
2013,"Drew Brees","QB",101,1
2014,"Drew Brees","QB",106,2
2015,"Drew Brees","QB",85,4
2015,"Duke Johnson","RB",8,44
2011,"Dustin Keller","TE",1,19
2015,"Dwayne Allen","TE",1,14
2010,"Dwayne Bowe","WR",20,18
2011,"Dwayne Bowe","WR",41,12
2012,"Dwayne Bowe","WR",26,25
2013,"Dwayne Bowe","WR",27,14
2014,"Dwayne Bowe","WR",2,43
2010,"Early Doucet","WR",1,69
2013,"Eddie Lacy","RB",30,20
2010,"Eddie Royal","WR",1,41
2015,"Eddie Royal","WR",1,39
2013,"EJ Manuel","QB",1,23
2010,"Eli Manning","QB",17,13
2011,"Eli Manning","QB",42,13
2012,"Eli Manning","QB",49,8
2013,"Eli Manning","QB",56,14
2015,"Eli Manning","QB",60,13
2013,"Emmanuel Sanders","WR",4,46
2014,"Emmanuel Sanders","WR",17,16
2015,"Emmanuel Sanders","WR",36,16
2012,"Eric Decker","WR",21,18
2013,"Eric Decker","WR",18,24
2014,"Eric Decker","WR",10,37
2015,"Eric Decker","WR",6,41
2010,"Felix Jones","RB",20,26
2011,"Felix Jones","RB",24,16
2010,"Frank Gore","RB",81,5
2011,"Frank Gore","RB",62,11
2012,"Frank Gore","RB",29,20
2013,"Frank Gore","RB",61,18
2014,"Frank Gore","RB",44,22
2015,"Frank Gore","RB",41,13
2012,"Fred Davis","TE",22,9
2010,"Fred Jackson","RB",10,41
2011,"Fred Jackson","RB",20,29
2012,"Fred Jackson","RB",45,12
2013,"Fred Jackson","RB",2,37
2014,"Fred Jackson","RB",3,34
2013,"Giovani Bernard","RB",17,24
2014,"Giovani Bernard","RB",66,9
2015,"Giovani Bernard","RB",13,35
2010,"Golden Tate","WR",2,54
2013,"Golden Tate","WR",1,36
2014,"Golden Tate","WR",11,31
2015,"Golden Tate","WR",29,20
2010,"Greg Jennings","WR",28,9
2012,"Greg Jennings","WR",56,7
2013,"Greg Jennings","WR",11,35
2011,"Greg Little","WR",5,52
2012,"Greg Little","WR",3,46
2010,"Greg Olsen","TE",2,17
2011,"Greg Olsen","TE",5,17
2013,"Greg Olsen","TE",5,10
2014,"Greg Olsen","TE",4,10
2015,"Greg Olsen","TE",18,3
2010,"Hakeem Nicks","WR",22,19
2013,"Hakeem Nicks","WR",32,21
2014,"Hakeem Nicks","WR",1,44
2010,"Heath Miller","TE",1,19
2014,"Heath Miller","TE",1,15
2010,"Hines Ward","WR",20,23
2011,"Hines Ward","WR",4,37
2012,"Isaac Redman","RB",9,34
2013,"Isaac Redman","RB",3,46
2015,"Isaiah Crowell","RB",5,37
2013,"Isaiah Pead","RB",6,57
2012,"Jacob Tamme","TE",7,11
2011,"Jacoby Ford","WR",6,46
2013,"Jacoby Jones","WR",2,58
2013,"Jacquizz Rodgers","RB",1,49
2010,"Jahvid Best","RB",6,18
2010,"Jamaal Charles","RB",28,12
2012,"Jamaal Charles","RB",44,10
2015,"Jameis Winston","QB",25,23
2011,"James Jones","WR",7,58
2013,"James Jones","WR",18,28
2011,"James Starks","RB",10,36
2012,"Jared Cook","TE",2,14
2013,"Jared Cook","TE",5,9
2015,"Jarvis Landry","WR",23,21
2010,"Jason Campbell","QB",6,25
2010,"Jason Witten","TE",16,5
2011,"Jason Witten","TE",15,3
2012,"Jason Witten","TE",8,8
2013,"Jason Witten","TE",21,4
2014,"Jason Witten","TE",27,6
2015,"Jason Witten","TE",16,8
2010,"Jay Cutler","QB",17,10
2011,"Jay Cutler","QB",11,17
2012,"Jay Cutler","QB",30,12
2013,"Jay Cutler","QB",22,16
2014,"Jay Cutler","QB",39,9
2015,"Jay Cutler","QB",37,21
2014,"Jeremy Hill","RB",1,41
2010,"Jeremy Maclin","WR",8,29
2011,"Jeremy Maclin","WR",18,25
2012,"Jeremy Maclin","WR",30,24
2014,"Jeremy Maclin","WR",13,27
2015,"Jeremy Maclin","WR",12,18
2010,"Jermichael Finley","TE",12,3
2011,"Jermichael Finley","TE",31,2
2012,"Jermichael Finley","TE",20,6
2013,"Jermichael Finley","TE",13,6
2010,"Jerome Harrison","RB",11,31
2011,"Jerome Harrison","RB",2,56
2010,"Jerricho Cotchery","WR",1,55
2011,"Jimmy Graham","TE",13,6
2012,"Jimmy Graham","TE",35,1
2013,"Jimmy Graham","TE",41,1
2014,"Jimmy Graham","TE",69,1
2015,"Jimmy Graham","TE",40,2
2010,"Joe Flacco","QB",34,8
2011,"Joe Flacco","QB",42,16
2012,"Joe Flacco","QB",31,17
2013,"Joe Flacco","QB",33,20
2015,"Joe Flacco","QB",20,18
2015,"John Brown","WR",5,32
2010,"John Carlson","TE",1,13
2010,"Johnny Knox","WR",9,30
2011,"Johnny Knox","WR",11,39.5
2013,"Joique Bell","RB",3,51
2014,"Joique Bell","RB",15,24
2015,"Joique Bell","RB",19,32
2015,"Jonas Gray","RB",1,50
2013,"Jonathan Dwyer","RB",1,43
2010,"Jonathan Stewart","RB",30,22
2011,"Jonathan Stewart","RB",10,37
2012,"Jonathan Stewart","RB",20,38
2015,"Jonathan Stewart","RB",16,24
2013,"Jordan Cameron","TE",4,7
2014,"Jordan Cameron","TE",11,5
2015,"Jordan Cameron","TE",1,6
2015,"Jordan Matthews","WR",37,11.5
2014,"Jordan Reed","TE",1,8
2011,"Jordy Nelson","WR",5,47
2013,"Jordy Nelson","WR",26,19
2010,"Joseph Addai","RB",25,20
2011,"Joseph Addai","RB",19,33
2013,"Josh Gordon","WR",5,34
2014,"Julian Edelman","WR",19,26
2015,"Julian Edelman","WR",24,24
2011,"Julio Jones","WR",16,26
2012,"Justin Blackmon","WR",7,32
2013,"Justin Blackmon","WR",1,44
2010,"Justin Forsett","RB",8,29
2014,"Justin Hunter","WR",2,40
2010,"Kellen Winslow","TE",10,12
2011,"Kellen Winslow","TE",4,11
2013,"Kenbrell Thompkins","WR",1,29
2012,"Kendall Wright","WR",1,41
2013,"Kendall Wright","WR",1,61
2014,"Kendall Wright","WR",7,36
2015,"Kendall Wright","WR",3,46
2010,"Kenny Britt","WR",3,48
2011,"Kenny Britt","WR",25,27
2012,"Kenny Britt","WR",16,31
2013,"Kenny Britt","WR",7,40
2010,"Kevin Kolb","QB",18,9
2011,"Kevin Kolb","QB",18,15
2012,"Kevin Smith","RB",12,30
2014,"Khiry Robinson","RB",1,48
2014,"Knile Davis","RB",1,54
2015,"Knile Davis","RB",1,46
2010,"Knowshon Moreno","RB",26,23
2011,"Knowshon Moreno","RB",30,21
2013,"Knowshon Moreno","RB",5,39
2014,"Knowshon Moreno","RB",3,35
2010,"Kyle Orton","QB",1,28
2011,"Kyle Orton","QB",10,19
2012,"Kyle Rudolph","TE",2,15
2013,"Kyle Rudolph","TE",16,11
2014,"Kyle Rudolph","TE",13,7
2015,"Kyle Rudolph","TE",1,11
2010,"LaDainian Tomlinson","RB",8,37
2011,"LaDainian Tomlinson","RB",2,38
2013,"Lamar Miller","RB",23,21
2014,"Lamar Miller","RB",2,32
2015,"Lamar Miller","RB",65,12
2011,"Lance Moore","WR",4,45
2012,"Lance Moore","WR",15,37
2013,"Lance Moore","WR",7,41
2010,"Larry Fitzgerald","WR",65,8
2011,"Larry Fitzgerald","WR",92,4
2012,"Larry Fitzgerald","WR",65,3
2013,"Larry Fitzgerald","WR",44,7
2014,"Larry Fitzgerald","WR",46,15
2015,"Larry Fitzgerald","WR",10,36
2010,"Laurence Maroney","RB",7,45
2012,"Laurent Robinson","WR",1,51
2010,"Lee Evans","WR",6,42
2011,"Lee Evans","WR",6,42
2011,"LeGarrette Blount","RB",35,15
2012,"LeGarrette Blount","RB",2,45
2014,"LeGarrette Blount","RB",1,49
2015,"LeGarrette Blount","RB",11,28
2010,"Leon Washington","RB",2,46
2010,"LeSean McCoy","RB",28,17
2012,"Malcom Floyd","WR",9,35
2013,"Malcom Floyd","WR",2,59
2011,"Marcedes Lewis","TE",7,9
2015,"Marcus Mariota","QB",26,22
2010,"Mario Manningham","WR",1,71.5
2011,"Mario Manningham","WR",40,23
2010,"Marion Barber","RB",11,30
2011,"Mark Ingram","RB",23,22
2012,"Mark Ingram","RB",8,36
2013,"Mark Ingram","RB",6,35
2014,"Mark Ingram","RB",1,40
2015,"Mark Ingram","RB",35,14
2010,"Mark Sanchez","QB",2,21
2011,"Mark Sanchez","QB",12,22
2014,"Markus Wheaton","WR",1,48
2010,"Marques Colston","WR",30,11
2011,"Marques Colston","WR",28,20.5
2012,"Marques Colston","WR",35,16
2013,"Marques Colston","WR",36,15
2014,"Marques Colston","WR",8,28
2015,"Marques Colston","WR",5,48
2011,"Marshawn Lynch","RB",20,30
2015,"Martavis Bryant","WR",10,28
2013,"Martellus Bennett","TE",1,18
2014,"Martellus Bennett","TE",1,12
2015,"Martellus Bennett","TE",14,5
2015,"Marvin Jones","WR",4,56
2010,"Matt Cassel","QB",1,22
2010,"Matt Forte","RB",22,19
2011,"Matt Forte","RB",41,13
2013,"Matt Forte","RB",62,11
2014,"Matt Forte","RB",84,4
2015,"Matt Forte","RB",68,9
2010,"Matthew Stafford","QB",4,17
2011,"Matthew Stafford","QB",33,11
2013,"Matthew Stafford","QB",88,8
2014,"Matthew Stafford","QB",75,4
2015,"Matthew Stafford","QB",71,11
2010,"Matt Ryan","QB",16,12
2012,"Matt Ryan","QB",71,6
2013,"Matt Ryan","QB",75,6
2014,"Matt Ryan","QB",58,7
2015,"Matt Ryan","QB",61,8
2010,"Matt Schaub","QB",36,5
2011,"Matt Schaub","QB",64,7
2012,"Matt Schaub","QB",35,15
2013,"Matt Schaub","QB",18,19
2010,"Maurice Jones-Drew","RB",105,4
2011,"Maurice Jones-Drew","RB",79,8
2013,"Maurice Jones-Drew","RB",64,16
2014,"Maurice Jones-Drew","RB",1,28
2015,"Melvin Gordon","RB",36,20
2010,"Michael Bush","RB",2,34
2011,"Michael Bush","RB",10,40
2012,"Michael Bush","RB",11,37
2010,"Michael Crabtree","WR",21,16
2011,"Michael Crabtree","WR",15,41
2012,"Michael Crabtree","WR",7,44
2014,"Michael Crabtree","WR",31,22
2015,"Michael Crabtree","WR",1,58
2013,"Michael Floyd","WR",1,43
2014,"Michael Floyd","WR",17,21
2015,"Michael Floyd","WR",4,51
2010,"Michael Turner","RB",81,6
2011,"Michael Turner","RB",72,10
2012,"Michael Turner","RB",30,18
2014,"Mike Evans","WR",5,41
2010,"Mike Sims-Walker","WR",25,20.5
2011,"Mike Sims-Walker","WR",5,32
2011,"Mike Thomas","WR",20,39.5
2011,"Mike Tolbert","RB",18,32
2010,"Mike Wallace","WR",22,28
2012,"Mike Wallace","WR",46,20
2013,"Mike Wallace","WR",31,26
2014,"Mike Wallace","WR",13,32
2015,"Mike Wallace","WR",22,35
2010,"Mike Williams","WR",1,47
2010,"Mike Williams","WR",1,61
2011,"Mike Williams","WR",1,13
2013,"Mike Williams","WR",8,39
2010,"Miles Austin","WR",48,5
2011,"Miles Austin","WR",39,10
2012,"Miles Austin","WR",28,28
2013,"Miles Austin","WR",16,31
2010,"Mohamed Massaquoi","WR",1,49
2011,"Montario Hardesty","RB",2,51
2013,"Montee Ball","RB",25,27
2011,"Nate Burleson","WR",3,44
2012,"Nate Washington","WR",18,38
2015,"Nelson Agholor","WR",21,25
2010,"Owen Daniels","TE",11,8
2011,"Owen Daniels","TE",10,7
2013,"Owen Daniels","TE",7,13
2015,"Owen Daniels","TE",2,7
2010,"Percy Harvin","WR",16,22
2011,"Percy Harvin","WR",26,24
2012,"Percy Harvin","WR",27,14
2014,"Percy Harvin","WR",20,18
2012,"Peyton Hillis","RB",8,26
2010,"Peyton Manning","QB",77,3
2011,"Peyton Manning","QB",72,8
2012,"Peyton Manning","QB",63,9
2014,"Peyton Manning","QB",103,1
2015,"Peyton Manning","QB",85,3
2010,"Philip Rivers","QB",34,7
2011,"Philip Rivers","QB",68,4
2012,"Philip Rivers","QB",72,11
2013,"Philip Rivers","QB",18,24
2014,"Philip Rivers","QB",42,14
2010,"Pierre Garcon","WR",20,20.5
2011,"Pierre Garcon","WR",18,34
2012,"Pierre Garcon","WR",8,30
2013,"Pierre Garcon","WR",13,18
2014,"Pierre Garcon","WR",26,20
2015,"Pierre Garcon","WR",1,49
2010,"Pierre Thomas","RB",30,15
2011,"Pierre Thomas","RB",2,39
2014,"Pierre Thomas","RB",2,30
2011,"Plaxico Burress","WR",26,28
2010,"Randy Moss","WR",79,2
2012,"Randy Moss","WR",1,47
2014,"Rashad Jennings","RB",22,18
2015,"Rashad Jennings","RB",28,30
2010,"Rashard Mendenhall","RB",52,9
2011,"Rashard Mendenhall","RB",72,7
2013,"Rashard Mendenhall","RB",13,32
2010,"Ray Rice","RB",94,3
2011,"Ray Rice","RB",99,2
2012,"Ray Rice","RB",107,2
2013,"Ray Rice","RB",76,9
2014,"Ray Rice","RB",15,23
2010,"Reggie Bush","RB",11,28
2011,"Reggie Bush","RB",2,31
2012,"Reggie Bush","RB",11,23
2013,"Reggie Bush","RB",37,17
2014,"Reggie Bush","RB",43,16
2010,"Reggie Wayne","WR",59,3
2011,"Reggie Wayne","WR",51,11
2012,"Reggie Wayne","WR",9,29
2013,"Reggie Wayne","WR",25,16
2014,"Reggie Wayne","WR",9,34
2010,"Ricky Williams","RB",21,32
2011,"Ricky Williams","RB",1,58
2014,"Riley Cooper","WR",8,38
2012,"Robert Griffin III","QB",29,14
2013,"Robert Griffin III","QB",45,10
2014,"Robert Griffin III","QB",50,13
2010,"Robert Meachem","WR",11,35
2011,"Robert Meachem","WR",7,51
2012,"Robert Meachem","WR",15,43
2011,"Rob Gronkowski","TE",1,10
2014,"Rob Gronkowski","TE",41,3
2010,"Roddy White","WR",43,6
2011,"Roddy White","WR",60,3
2012,"Roddy White","WR",57,8
2013,"Roddy White","WR",51,10
2014,"Roddy White","WR",36,14
2015,"Roddy White","WR",3,42
2010,"Ronnie Brown","RB",19,24
2011,"Ronnie Brown","RB",1,50
2013,"Ronnie Hillman","RB",1,41
2015,"Ronnie Hillman","RB",1,43
2012,"Roy Helu","RB",8,39
2013,"Roy Helu","RB",1,53
2011,"Roy Williams","WR",6,48
2013,"Rueben Randle","WR",2,50
2014,"Rueben Randle","WR",1,42
2015,"Rueben Randle","WR",1,65
2012,"Russell Wilson","QB",1,18
2013,"Ryan Broyles","WR",2,53
2011,"Ryan Fitzpatrick","QB",2,23
2010,"Ryan Grant","RB",49,13
2011,"Ryan Grant","RB",20,26
2010,"Ryan Mathews","RB",21,8
2011,"Ryan Mathews","RB",25,20
2012,"Ryan Mathews","RB",35,13
2013,"Ryan Mathews","RB",10,26
2014,"Ryan Mathews","RB",30,21
2015,"Ryan Mathews","RB",6,31
2015,"Ryan Tannehill","QB",45,12
2011,"Ryan Torain","RB",4,48
2010,"Sam Bradford","QB",1,24
2013,"Sam Bradford","QB",17,21
2015,"Sam Bradford","QB",30,10
2014,"Sammy Watkins","WR",16,39
2015,"Sammy Watkins","WR",22,26
2010,"Santana Moss","WR",14,27
2011,"Santana Moss","WR",12,33
2010,"Santonio Holmes","WR",13,34
2011,"Santonio Holmes","WR",23,17
2012,"Santonio Holmes","WR",9,45
2013,"Shane Vereen","RB",15,30
2015,"Shane Vereen","RB",2,40
2010,"Shonn Greene","RB",55,11
2011,"Shonn Greene","RB",44,17
2012,"Shonn Greene","RB",21,28
2013,"Shonn Greene","RB",2,56
2014,"Shonn Greene","RB",1,50
2010,"Sidney Rice","WR",37,53
2011,"Sidney Rice","WR",13,31
2012,"Sidney Rice","WR",10,40
2013,"Sidney Rice","WR",15,48
2012,"Stevan Ridley","RB",16,24
2013,"Stevan Ridley","RB",69,15
2014,"Stevan Ridley","RB",7,36
2010,"Steve Breaston","WR",11,38
2011,"Steve Johnson","WR",44,20.5
2012,"Steve Johnson","WR",25,26
2013,"Steve Johnson","WR",11,38
2010,"Steven Jackson","RB",94,7
2011,"Steven Jackson","RB",52,12
2012,"Steven Jackson","RB",66,14
2013,"Steven Jackson","RB",57,12
2014,"Steven Jackson","RB",12,31
2010,"Steve Slaton","RB",1,44
2010,"Steve Smith","WR",26,14
2010,"Steve Smith","WR",26,15
2010,"Steve Smith","WR",27,14
2010,"Steve Smith","WR",27,15
2011,"Steve Smith","WR",14,35
2011,"Steve Smith","WR",14,53
2013,"Steve Smith","WR",23,27
2014,"Steve Smith","WR",1,46
2013,"Tavon Austin","WR",28,32
2014,"Tavon Austin","WR",1,56
2015,"Teddy Bridgewater","QB",35,16
2014,"Terrance West","RB",1,44
2014,"Terrance Williams","WR",6,33
2010,"Terrell Owens","WR",5,26
2015,"Tevin Coleman","RB",3,36
2010,"Thomas Jones","RB",11,38
2011,"Thomas Jones","RB",2,47
2010,"Tim Hightower","RB",1,39
2011,"Tim Hightower","RB",29,24
2012,"Titus Young","WR",4,33
2010,"T.J. Houshmandzadeh","WR",8,32
2015,"TJ Yeldon","RB",20,27
2012,"Toby Gerhart","RB",7,42
2014,"Toby Gerhart","RB",20,19
2015,"Todd Gurley","RB",13,26
2010,"Tom Brady","QB",77,4
2012,"Tom Brady","QB",108,2
2013,"Tom Brady","QB",93,4
2014,"Tom Brady","QB",68,6
2015,"Tom Brady","QB",87,7
2010,"Tony Gonzalez","TE",14,7
2011,"Tony Gonzalez","TE",6,8
2012,"Tony Gonzalez","TE",8,10
2013,"Tony Gonzalez","TE",20,5
2010,"Tony Romo","QB",39,6
2011,"Tony Romo","QB",40,6
2012,"Tony Romo","QB",48,10
2013,"Tony Romo","QB",67,11
2014,"Tony Romo","QB",64,10
2015,"Tony Romo","QB",70,9
2013,"Torrey Smith","WR",31,20
2014,"Torrey Smith","WR",25,25
2015,"Torrey Smith","WR",4,50
2015,"Travis Kelce","TE",17,4
2015,"Tre Mason","RB",3,38
2012,"Trent Richardson","RB",24,16
2014,"Trent Richardson","RB",4,29
2013,"T.Y. Hilton","WR",7,25
2014,"T.Y. Hilton","WR",15,24
2015,"T.Y. Hilton","WR",57,9
2015,"Tyler Eifert","TE",5,9
2015,"Tyrod Taylor","QB",7,20
2010,"Vernon Davis","TE",22,4
2011,"Vernon Davis","TE",17,5
2012,"Vernon Davis","TE",24,5
2013,"Vernon Davis","TE",15,3
2014,"Vernon Davis","TE",24,4
2013,"Vick Ballard","RB",7,45
2012,"Victor Cruz","WR",36,10
2013,"Victor Cruz","WR",36,11
2014,"Victor Cruz","WR",42,17
2015,"Victor Cruz","WR",1,34
2013,"Vincent Brown","WR",2,45
2010,"Vincent Jackson","WR",29,33
2011,"Vincent Jackson","WR",55,5
2012,"Vincent Jackson","WR",26,27
2013,"Vincent Jackson","WR",36,12
2014,"Vincent Jackson","WR",42,13
2015,"Vincent Jackson","WR",15,31
2010,"Vince Young","QB",2,20
2010,"Visanthe Shiancoe","TE",11,10
2010,"Wes Welker","WR",26,12
2013,"Wes Welker","WR",26,17
2014,"Wes Welker","WR",4,29
2011,"Willis McGahee","RB",1,42
2012,"Willis McGahee","RB",23,21
2015,"Zach Ertz","TE",4,13
2010,"Zach Miller","TE",2,11
2011,"Zach Miller","TE",2,12
