"year","owner","player","team","pos","value","keeper","lag1_price","lag2_price","lag3_price","lag4_price","lag5_price","overall_rank","pos_rank","lag1_pos_rank","lag2_pos_rank","lag3_pos_rank","lag4_pos_rank","lag5_pos_rank","lag1_overall","lag2_overall","lag3_overall","lag4_overall","lag5_overall"
2012,"Olson","Josh Freeman","TB","QB",19,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013,"Regan","Josh Gordon","CLE","WR",5,0,NA,NA,NA,NA,NA,86.1,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,"Matovina","Josh McCown","TB","QB",29,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015,"Ready","Josh McCown","CLE","QB",2,0,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010,"Hartman","Josh Morgan","SF","WR",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,"Higdon","Julian Edelman","NE","WR",19,0,NA,NA,NA,NA,NA,62.4,26,63,NA,NA,43,NA,161.5,NA,NA,113,NA
2015,"Kane","Julian Edelman","NE","WR",24,0,19,NA,NA,NA,NA,55.1,24,26,63,NA,NA,43,62.4,161.5,NA,NA,113
2011,"Higdon","Julio Jones","ATL","WR",16,0,NA,NA,NA,NA,NA,68.9,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012,"Regan","Justin Blackmon","JAC","WR",7,0,NA,NA,NA,NA,NA,80.5,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013,"Thieneman","Justin Blackmon","JAC","WR",1,0,7,NA,NA,NA,NA,112.4,44,32,NA,NA,NA,NA,80.5,NA,NA,NA,NA
2010,"Higdon","Justin Forsett","SEA","RB",8,0,NA,NA,NA,NA,NA,67.9,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,"Skrzyskewski","Justin Hunter","TEN","WR",2,0,NA,NA,NA,NA,NA,100.3,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013,"Hartman","Justin Tucker","BAL","K",9,0,NA,NA,NA,NA,NA,168.6,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,"Shokunbi","Justin Tucker","BAL","K",2,0,9,NA,NA,NA,NA,150.6,3,12,NA,NA,NA,NA,168.6,NA,NA,NA,NA
2015,"Harrington","Justin Tucker","BAL","K",1,0,2,9,NA,NA,NA,162.3,7,3,12,NA,NA,NA,150.6,168.6,NA,NA,NA
2010,"Higdon","Kellen Winslow","TB","TE",10,0,NA,NA,NA,NA,NA,115.3,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011,"Higdon","Kellen Winslow","TB","TE",4,0,10,NA,NA,NA,NA,113,11,12,NA,NA,NA,NA,115.3,NA,NA,NA,NA
2013,"Olson","Kenbrell Thompkins","NE","WR",1,0,NA,NA,NA,NA,NA,75,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012,"Shokunbi","Kendall Wright","TEN","WR",1,0,NA,NA,NA,NA,NA,111,41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013,"Kane","Kendall Wright","TEN","WR",1,0,1,NA,NA,NA,NA,159.1,61,41,NA,NA,NA,NA,111,NA,NA,NA,NA
2014,"Matovina","Kendall Wright","TEN","WR",7,0,1,1,NA,NA,NA,87.3,36,61,41,NA,NA,NA,159.1,111,NA,NA,NA
2015,"Hartman","Kendall Wright","TEN","WR",3,0,7,1,1,NA,NA,111.5,46,36,61,41,NA,NA,87.3,159.1,111,NA,NA
2010,"Higdon","Kenny Britt","TEN","WR",3,0,NA,NA,NA,NA,NA,122.7,48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011,"Skrzyskewski","Kenny Britt","TEN","WR",25,0,3,NA,NA,NA,NA,69.8,27,48,NA,NA,NA,NA,122.7,NA,NA,NA,NA
2012,"Regan","Kenny Britt","TEN","WR",16,0,25,3,NA,NA,NA,76.8,31,27,48,NA,NA,NA,69.8,122.7,NA,NA,NA
2013,"Olson","Kenny Britt","STL","WR",7,0,16,25,3,NA,NA,101.9,40,31,27,48,NA,NA,76.8,69.8,122.7,NA,NA
2010,"Olson","Kevin Boss","NYG","TE",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010,"McShane","Kevin Kolb","PHI","QB",18,0,NA,NA,NA,NA,NA,64.8,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011,"Hartman","Kevin Kolb","ARI","QB",18,0,18,NA,NA,NA,NA,110.9,15,9,NA,NA,NA,NA,64.8,NA,NA,NA,NA
2012,"Harrington","Kevin Kolb","ARI","QB",3,0,18,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012,"Higdon","Kevin Smith","DET","RB",12,0,NA,NA,NA,NA,NA,75,30,NA,50,NA,NA,NA,NA,146.9,NA,NA,NA
2014,"Thieneman","Khiry Robinson","NO","RB",1,0,NA,NA,NA,NA,NA,126.4,48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,"Hartman","Kirk Cousins","WSH","QB",3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015,"McShane","Kirk Cousins","WSH","QB",6,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,"Kane","Knile Davis","KC","RB",1,0,NA,NA,NA,NA,NA,149.8,54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015,"Thieneman","Knile Davis","KC","RB",1,0,1,NA,NA,NA,NA,115.2,46,54,NA,NA,NA,NA,149.8,NA,NA,NA,NA
2010,"McShane","Knowshon Moreno","DEN","RB",26,0,NA,NA,NA,NA,NA,52.4,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011,"Matovina","Knowshon Moreno","DEN","RB",30,0,26,NA,NA,NA,NA,45.8,21,23,NA,NA,NA,NA,52.4,NA,NA,NA,NA
2013,"Regan","Knowshon Moreno","MIA","RB",5,0,NA,30,26,NA,NA,99.8,39,NA,21,23,NA,NA,NA,45.8,52.4,NA,NA
2014,"Regan","Knowshon Moreno","MIA","RB",3,0,5,NA,30,26,NA,85.1,35,39,NA,21,23,NA,99.8,NA,45.8,52.4,NA
2010,"Matovina","Kyle Orton","DEN","QB",1,0,NA,NA,NA,NA,NA,160.9,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011,"Matovina","Kyle Orton","KC","QB",10,0,1,NA,NA,NA,NA,129.9,19,28,NA,NA,NA,NA,160.9,NA,NA,NA,NA
2012,"Matovina","Kyle Rudolph","MIN","TE",2,0,NA,NA,NA,NA,NA,140.3,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013,"McShane","Kyle Rudolph","MIN","TE",16,0,2,NA,NA,NA,NA,109.2,11,15,NA,NA,NA,NA,140.3,NA,NA,NA,NA
2014,"Shokunbi","Kyle Rudolph","MIN","TE",13,0,16,2,NA,NA,NA,72.6,7,11,15,NA,NA,NA,109.2,140.3,NA,NA,NA
2015,"Regan","Kyle Rudolph","MIN","TE",1,0,13,16,2,NA,NA,118.2,11,7,11,15,NA,NA,72.6,109.2,140.3,NA,NA
2010,"Harrington","LaDainian Tomlinson","NYJ","RB",8,0,NA,NA,NA,NA,NA,93.3,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011,"Regan","LaDainian Tomlinson","NYJ","RB",2,0,8,NA,NA,NA,NA,99.2,38,37,NA,NA,NA,NA,93.3,NA,NA,NA,NA
2013,"Hartman","Lamar Miller","MIA","RB",23,0,NA,NA,NA,NA,NA,32.7,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,"Skrzyskewski","Lamar Miller","MIA","RB",2,0,23,NA,NA,NA,NA,78.2,32,21,NA,NA,NA,NA,32.7,NA,NA,NA,NA
2015,"Regan","Lamar Miller","MIA","RB",65,0,2,23,NA,NA,NA,21.2,12,32,21,NA,NA,NA,78.2,32.7,NA,NA,NA
2011,"Harrington","Lance Moore","NO","WR",4,0,NA,NA,NA,NA,NA,114.3,45,74,NA,NA,NA,NA,163.5,NA,NA,NA,NA
2012,"Kane","Lance Moore","NO","WR",15,0,4,NA,NA,NA,NA,95.5,37,45,74,NA,NA,NA,114.3,163.5,NA,NA,NA
2013,"Higdon","Lance Moore","PIT","WR",7,0,15,4,NA,NA,NA,103.4,41,37,45,74,NA,NA,95.5,114.3,163.5,NA,NA
2015,"Ready","Larry Donnell","NYG","TE",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010,"Higdon","Larry Fitzgerald","ARI","WR",65,0,NA,NA,NA,NA,NA,19.2,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011,"Hartman","Larry Fitzgerald","ARI","WR",92,0,65,NA,NA,NA,NA,15.6,4,8,NA,NA,NA,NA,19.2,NA,NA,NA,NA
2012,"Matovina","Larry Fitzgerald","ARI","WR",65,0,92,65,NA,NA,NA,22.5,3,4,8,NA,NA,NA,15.6,19.2,NA,NA,NA
2013,"Thieneman","Larry Fitzgerald","ARI","WR",44,0,65,92,65,NA,NA,28.9,7,3,4,8,NA,NA,22.5,15.6,19.2,NA,NA
2014,"Higdon","Larry Fitzgerald","ARI","WR",46,0,44,65,92,65,NA,40.3,15,7,3,4,8,NA,28.9,22.5,15.6,19.2,NA
2015,"Harrington","Larry Fitzgerald","ARI","WR",10,0,46,44,65,92,65,89.5,36,15,7,3,4,8,40.3,28.9,22.5,15.6,19.2
2010,"Thieneman","Laurence Maroney","DEN","RB",7,0,NA,NA,NA,NA,NA,122,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012,"Kane","Laurent Robinson","JAC","WR",1,0,NA,NA,NA,NA,NA,156.1,51,NA,64,NA,NA,NA,NA,155.2,NA,NA,NA
2010,"Matovina","Lawrence Tynes","NYG","K",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010,"Harrington","Lee Evans","BUF","WR",6,0,NA,NA,NA,NA,NA,110.8,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011,"Shokunbi","Lee Evans","BAL","WR",6,0,6,NA,NA,NA,NA,109.2,42,42,NA,NA,NA,NA,110.8,NA,NA,NA,NA
2011,"Shokunbi","LeGarrette Blount","TB","RB",35,0,NA,NA,NA,NA,NA,28.7,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012,"Shokunbi","LeGarrette Blount","TB","RB",2,0,35,NA,NA,NA,NA,122,45,15,NA,NA,NA,NA,28.7,NA,NA,NA,NA
2014,"Matovina","LeGarrette Blount","PIT","RB",1,0,NA,2,35,NA,NA,129.8,49,NA,45,15,NA,NA,NA,122,28.7,NA,NA
2015,"Harrington","LeGarrette Blount","NE","RB",11,0,1,NA,2,35,NA,61.7,28,49,NA,45,15,NA,129.8,NA,122,28.7,NA
2012,"Shokunbi","Leonard Hankerson","WSH","WR",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010,"Harrington","Leon Washington","SEA","RB",2,0,NA,NA,NA,NA,NA,122.3,46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010,"Ready","LeSean McCoy","PHI","RB",28,0,NA,NA,NA,NA,NA,37.5,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013,"Regan","Le'Veon Bell","PIT","RB",6,0,NA,NA,NA,NA,NA,78.8,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011,"Ready","Lions D/ST","DET","D/ST",7,0,NA,NA,NA,NA,NA,118.5,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012,"Matovina","Lions D/ST","DET","D/ST",2,0,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012,"Higdon","Malcom Floyd","SD","WR",9,0,NA,NA,NA,NA,NA,92.1,35,30,24,NA,NA,NA,81.8,59.8,NA,NA,NA
2013,"Matovina","Malcom Floyd","SD","WR",2,0,9,NA,NA,NA,NA,158.3,59,35,30,24,NA,NA,92.1,81.8,59.8,NA,NA
2015,"Ready","Malcom Floyd","SD","WR",1,0,NA,2,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011,"Higdon","Marcedes Lewis","JAC","TE",7,0,NA,NA,NA,NA,NA,87,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015,"Olson","Marcus Mariota","TEN","QB",26,0,NA,NA,NA,NA,NA,155.5,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010,"Matovina","Mario Manningham","NYG","WR",1,0,NA,NA,NA,NA,NA,160.5,71.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011,"Skrzyskewski","Mario Manningham","NYG","WR",40,0,1,NA,NA,NA,NA,58.7,23,71.5,NA,NA,NA,NA,160.5,NA,NA,NA,NA
2012,"Olson","Mario Manningham","SF","WR",2,0,40,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010,"Olson","Marion Barber","DAL","RB",11,0,NA,NA,NA,NA,NA,75.1,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011,"Kane","Mark Ingram","NO","RB",23,0,NA,NA,NA,NA,NA,46.8,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012,"Regan","Mark Ingram","NO","RB",8,0,23,NA,NA,NA,NA,88,36,22,NA,NA,NA,NA,46.8,NA,NA,NA,NA
2013,"Shokunbi","Mark Ingram","NO","RB",6,0,8,23,NA,NA,NA,82.8,35,36,22,NA,NA,NA,88,46.8,NA,NA,NA
2014,"Matovina","Mark Ingram","NO","RB",1,0,6,8,23,NA,NA,94.7,40,35,36,22,NA,NA,82.8,88,46.8,NA,NA
2015,"Thieneman","Mark Ingram","NO","RB",35,0,1,6,8,23,NA,28.4,14,40,35,36,22,NA,94.7,82.8,88,46.8,NA
2010,"Ready","Mark Sanchez","NYJ","QB",2,0,NA,NA,NA,NA,NA,144.1,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011,"McShane","Mark Sanchez","NYJ","QB",12,0,2,NA,NA,NA,NA,144.7,22,21,NA,NA,NA,NA,144.1,NA,NA,NA,NA
2014,"Olson","Markus Wheaton","PIT","WR",1,0,NA,NA,NA,NA,NA,122.9,48,60,NA,NA,NA,NA,158.5,NA,NA,NA,NA
2014,"Ready","Marqise Lee","JAC","WR",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010,"Skrzyskewski","Marques Colston","NO","WR",30,0,NA,NA,NA,NA,NA,25.7,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011,"Regan","Marques Colston","NO","WR",28,0,30,NA,NA,NA,NA,52.3,20.5,11,NA,NA,NA,NA,25.7,NA,NA,NA,NA
2012,"Ready","Marques Colston","NO","WR",35,0,28,30,NA,NA,NA,45.5,16,20.5,11,NA,NA,NA,52.3,25.7,NA,NA,NA
2013,"McShane","Marques Colston","NO","WR",36,0,35,28,30,NA,NA,43.8,15,16,20.5,11,NA,NA,45.5,52.3,25.7,NA,NA
2014,"Ready","Marques Colston","NO","WR",8,0,36,35,28,30,NA,67.5,28,15,16,20.5,11,NA,43.8,45.5,52.3,25.7,NA
2015,"McShane","Marques Colston","NO","WR",5,0,8,36,35,28,30,121.3,48,28,15,16,20.5,11,67.5,43.8,45.5,52.3,25.7
2011,"Regan","Marshawn Lynch","SEA","RB",20,0,NA,NA,NA,NA,NA,74.6,30,58,NA,NA,NA,NA,156.4,NA,NA,NA,NA
2015,"Skrzyskewski","Martavis Bryant","PIT","WR",10,0,NA,NA,NA,NA,NA,65.9,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013,"McShane","Martellus Bennett","CHI","TE",1,0,NA,NA,NA,NA,NA,152.8,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,"Olson","Martellus Bennett","CHI","TE",1,0,1,NA,NA,NA,NA,117.8,12,18,NA,NA,NA,NA,152.8,NA,NA,NA,NA
2015,"Skrzyskewski","Martellus Bennett","CHI","TE",14,0,1,1,NA,NA,NA,64.8,5,12,18,NA,NA,NA,117.8,152.8,NA,NA,NA
2015,"Shokunbi","Marvin Jones","CIN","WR",4,0,NA,NA,NA,NA,NA,140.4,56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010,"Regan","Mason Crosby","GB","K",1,0,NA,NA,NA,NA,NA,138.5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011,"Regan","Mason Crosby","GB","K",1,0,1,NA,NA,NA,NA,160,3,2,NA,NA,NA,NA,138.5,NA,NA,NA,NA
2012,"Regan","Mason Crosby","GB","K",2,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,"Hartman","Mason Crosby","GB","K",1,0,NA,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015,"Hartman","Mason Crosby","GB","K",1,0,1,NA,2,1,1,161.9,6,NA,10.5,NA,3,2,NA,167.7,NA,160,138.5
2011,"Olson","Matt Bryant","ATL","K",1,0,NA,NA,NA,NA,NA,170.2,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012,"Kane","Matt Bryant","ATL","K",1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013,"Ready","Matt Bryant","ATL","K",1,0,1,1,NA,NA,NA,148.6,4,NA,7,NA,NA,NA,NA,170.2,NA,NA,NA
2014,"Regan","Matt Bryant","ATL","K",1,0,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015,"Kane","Matt Bryant","ATL","K",2,0,1,1,1,1,NA,167.3,9,NA,4,NA,7,NA,NA,148.6,NA,170.2,NA
2010,"Matovina","Matt Cassel","KC","QB",1,0,NA,NA,NA,NA,NA,147.6,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012,"Skrzyskewski","Matt Cassel","KC","QB",6,0,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010,"Thieneman","Matt Forte","CHI","RB",22,0,NA,NA,NA,NA,NA,44.3,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011,"McShane","Matt Forte","CHI","RB",41,0,22,NA,NA,NA,NA,23.5,13,19,NA,NA,NA,NA,44.3,NA,NA,NA,NA
2013,"Harrington","Matt Forte","CHI","RB",62,0,NA,41,22,NA,NA,12.1,11,6,13,19,NA,NA,10.3,23.5,44.3,NA,NA
2014,"Olson","Matt Forte","CHI","RB",84,0,62,NA,41,22,NA,4.2,4,11,6,13,19,NA,12.1,10.3,23.5,44.3,NA
2015,"Matovina","Matt Forte","CHI","RB",68,0,84,62,NA,41,22,14.6,9,4,11,6,13,19,4.2,12.1,10.3,23.5,44.3
2011,"Hartman","Matt Hasselbeck","TEN","QB",3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010,"Harrington","Matthew Stafford","DET","QB",4,0,NA,NA,NA,NA,NA,125.6,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011,"Shokunbi","Matthew Stafford","DET","QB",33,0,4,NA,NA,NA,NA,78.1,11,17,NA,NA,NA,NA,125.6,NA,NA,NA,NA
2013,"McShane","Matthew Stafford","DET","QB",88,0,NA,33,4,NA,NA,66.7,8,4,11,17,NA,NA,12,78.1,125.6,NA,NA
2014,"Shokunbi","Matthew Stafford","DET","QB",75,0,88,NA,33,4,NA,39.2,4,8,4,11,17,NA,66.7,12,78.1,125.6,NA
2015,"Shokunbi","Matthew Stafford","DET","QB",71,0,75,88,NA,33,4,87.9,11,4,8,4,11,17,39.2,66.7,12,78.1,125.6
2010,"Hartman","Matt Leinart","HOU","QB",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010,"Kane","Matt Prater","DEN","K",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012,"Shokunbi","Matt Prater","DEN","K",1,0,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013,"Olson","Matt Prater","DEN","K",1,0,1,NA,1,NA,NA,149.9,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,"Matovina","Matt Prater","DEN","K",5,0,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015,"Thieneman","Matt Prater","DET","K",3,0,5,1,1,NA,1,165.8,8,NA,5,NA,NA,NA,NA,149.9,NA,NA,NA
2010,"Kane","Matt Ryan","ATL","QB",16,0,NA,NA,NA,NA,NA,89.4,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012,"McShane","Matt Ryan","ATL","QB",71,0,NA,16,NA,NA,NA,34.2,6,9,12,NA,NA,NA,61.3,89.4,NA,NA,NA
2013,"Higdon","Matt Ryan","ATL","QB",75,0,71,NA,16,NA,NA,54.5,6,6,9,12,NA,NA,34.2,61.3,89.4,NA,NA
2014,"Skrzyskewski","Matt Ryan","ATL","QB",58,0,75,71,NA,16,NA,62.6,7,6,6,9,12,NA,54.5,34.2,61.3,89.4,NA
2015,"Olson","Matt Ryan","ATL","QB",61,0,58,75,71,NA,16,74.6,8,7,6,6,9,12,62.6,54.5,34.2,61.3,89.4
2010,"Olson","Matt Schaub","HOU","QB",36,0,NA,NA,NA,NA,NA,31.9,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011,"Higdon","Matt Schaub","HOU","QB",64,0,36,NA,NA,NA,NA,55.7,7,5,NA,NA,NA,NA,31.9,NA,NA,NA,NA
2012,"Higdon","Matt Schaub","HOU","QB",35,0,64,36,NA,NA,NA,100.9,15,7,5,NA,NA,NA,55.7,31.9,NA,NA,NA
2013,"Shokunbi","Matt Schaub","OAK","QB",18,0,35,64,36,NA,NA,138.6,19,15,7,5,NA,NA,100.9,55.7,31.9,NA,NA
2010,"Regan","Maurice Jones-Drew","JAC","RB",105,0,NA,NA,NA,NA,NA,4.4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011,"Thieneman","Maurice Jones-Drew","JAC","RB",79,0,105,NA,NA,NA,NA,13.4,8,4,NA,NA,NA,NA,4.4,NA,NA,NA,NA
2013,"Skrzyskewski","Maurice Jones-Drew","OAK","RB",64,0,NA,79,105,NA,NA,18.7,16,8,8,4,NA,NA,14.9,13.4,4.4,NA,NA
2014,"Kane","Maurice Jones-Drew","OAK","RB",1,0,64,NA,79,105,NA,64.7,28,16,8,8,4,NA,18.7,14.9,13.4,4.4,NA
2015,"Skrzyskewski","Melvin Gordon","SD","RB",36,0,NA,NA,NA,NA,NA,39.8,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010,"Higdon","Michael Bush","OAK","RB",2,0,NA,NA,NA,NA,NA,84.5,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011,"Skrzyskewski","Michael Bush","OAK","RB",10,0,2,NA,NA,NA,NA,105.1,40,34,NA,NA,NA,NA,84.5,NA,NA,NA,NA
2012,"McShane","Michael Bush","CHI","RB",11,0,10,2,NA,NA,NA,94,37,40,34,NA,NA,NA,105.1,84.5,NA,NA,NA
2010,"Shokunbi","Michael Crabtree","SF","WR",21,0,NA,NA,NA,NA,NA,42.7,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011,"Kane","Michael Crabtree","SF","WR",15,0,21,NA,NA,NA,NA,108.6,41,16,NA,NA,NA,NA,42.7,NA,NA,NA,NA
2012,"Matovina","Michael Crabtree","SF","WR",7,0,15,21,NA,NA,NA,114.8,44,41,16,NA,NA,NA,108.6,42.7,NA,NA,NA
2014,"Regan","Michael Crabtree","SF","WR",31,0,NA,7,15,21,NA,52.4,22,62,44,41,16,NA,159.6,114.8,108.6,42.7,NA
2015,"Ready","Michael Crabtree","OAK","WR",1,0,31,NA,7,15,21,143.2,58,22,62,44,41,16,52.4,159.6,114.8,108.6,42.7
2013,"Skrzyskewski","Michael Floyd","ARI","WR",1,0,NA,NA,NA,NA,NA,112.3,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,"McShane","Michael Floyd","ARI","WR",17,0,1,NA,NA,NA,NA,49.5,21,43,NA,NA,NA,NA,112.3,NA,NA,NA,NA
2015,"Kane","Michael Floyd","ARI","WR",4,0,17,1,NA,NA,NA,127.2,51,21,43,NA,NA,NA,49.5,112.3,NA,NA,NA
2010,"Ready","Michael Turner","ATL","RB",81,0,NA,NA,NA,NA,NA,8.1,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
