"player","pos","overall_rank","pos_rank","lag1_pos_rank","lag2_pos_rank","lag3_pos_rank","lag4_pos_rank","lag5_pos_rank","lag1_overall","lag2_overall","lag3_overall","lag4_overall","lag5_overall","lag1_price","lag2_price","lag3_price","lag4_price","lag5_price","pred_cost"
"Heath Miller","TE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,5.18255466159934
"Hines Ward","WR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3.87866456112075
"Isaac Redman","RB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,9,NA,3.31074580529118
"Isaiah Pead","RB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,3.32199569951203
"Jacob Tamme","TE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,3.80967796734849
"Jacoby Ford","WR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,3.87866456112075
"Jacoby Jones","WR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,3.32334373788318
"Jacquizz Rodgers","RB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,3.32334373788318
"Jahvid Best","RB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.84760769668094
"Jake Locker","QB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,2,1,NA,4.29442478219789
"James Jones","WR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,NA,7,3.98477353237459
"Jason Campbell","QB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3.87866456112075
"Jeremy Kerley","WR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,3.32334373788318
"Jermichael Finley","TE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,20,31,3.64681972324209
"Jerome Harrison","RB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3.87866456112075
"Jerome Simpson","WR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3.87866456112075
"Jerricho Cotchery","WR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.84760769668094
"Joe Adams","WR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,3.80967796734849
"Joey Galloway","WR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.84760769668094
"John Carlson","TE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.84760769668094
"Johnny Knox","WR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,3.87866456112075
"Johnny Manziel","QB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,5.18255466159934
"John Skelton","QB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,3.80967796734849
"Joique Bell","RB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,15,3,NA,NA,5.32465238103911
"Jonas Gray","RB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,3.55482257024743
"Jonathan Dwyer","RB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,3.32334373788318
"Jon Baldwin","WR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,3.80967796734849
"Jordan Cameron","TE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,11,4,NA,NA,4.42491916857787
"Joseph Addai","RB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,3.89845092931792
"Josh Freeman","QB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,NA,3.81009342931156
"Josh McCown","QB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,29,NA,NA,NA,4.99296839112831
"Josh Morgan","WR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.84760769668094
"Justin Blackmon","WR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,7,NA,3.31074580529118
"Justin Hunter","WR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,5.09014096613071
"Kellen Winslow","TE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3.87866456112075
"Kenbrell Thompkins","WR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,3.32334373788318
"Kendall Wright","WR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,7,1,1,NA,4.45476424942805
"Kenny Britt","WR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,16,25,3.34863293110651
"Kevin Boss","TE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.84760769668094
"Kevin Kolb","QB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,18,3.86360345013643
"Kevin Smith","RB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,3.81656021145762
"Khiry Robinson","RB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,5.18255466159934
"Knile Davis","RB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,4.87468146539538
"Knowshon Moreno","RB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,5,NA,30,4.58453122188237
"Kyle Orton","QB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,3.87866456112075
"Kyle Rudolph","TE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,13,16,2,NA,5.00143008037802
"LaDainian Tomlinson","RB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3.87866456112075
"Lance Moore","WR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,15,4,3.33179754643015
"Larry Donnell","TE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,3.55482257024743
"Laurence Maroney","RB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.84760769668094
"Laurent Robinson","WR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,3.80967796734849
"Lee Evans","WR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,3.87866456112075
"Leonard Hankerson","WR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,3.80967796734849
"Leon Washington","RB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.84760769668094
"Malcom Floyd","WR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,2,9,NA,3.08010844026882
"Marcedes Lewis","TE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,3.87866456112075
"Mario Manningham","WR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,40,3.85427148876596
"Marion Barber","RB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.84760769668094
"Mark Sanchez","QB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,3.87866456112075
"Marqise Lee","WR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,5.18255466159934
"Marques Colston","WR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,8,36,35,28,5.73962867416616
"Marshawn Lynch","RB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,3.89845092931792
"Martavis Bryant","WR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,4.2290830083564
"Matt Cassel","QB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,3.80967796734849
"Matt Hasselbeck","QB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3.87866456112075
"Matt Leinart","QB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.84760769668094
"Matt Schaub","QB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,35,64,4.10109805337668
"Maurice Jones-Drew","RB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,64,NA,79,6.67074350338804
"Michael Bush","RB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,10,3.84761707589742
"Michael Turner","RB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,72,3.84754223670776
"Michael Vick","QB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,5.14693034890866
"Mike Sims-Walker","WR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,3.87866456112075
"Mike Thomas","WR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,3.89845092931792
"Mike Tolbert","RB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,18,3.86360345013643
"Mike Williams","WR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,1,1,3.33409976042425
"Miles Austin","WR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,28,39,3.93792961791432
"Mohamed Massaquoi","WR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.84760769668094
"Montario Hardesty","RB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3.87866456112075
"Montee Ball","RB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,NA,NA,4.12295415115617
"Nate Burleson","WR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,3.8407348317883
"Nate Washington","WR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,18,NA,3.30844359129708
"Nelson Agholor","WR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,NA,NA,NA,NA,5.3207475912296
"Nick Foles","QB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,NA,3,NA,NA,4.20418521215201
"Owen Daniels","TE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,7,5,10,3.25860063645449
"Pat White","QB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.84760769668094
"Percy Harvin","WR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,NA,27,26,4.85562872742492
"Peyton Hillis","RB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,3.80967796734849
"Peyton Manning","QB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,85,103,NA,63,72,9.92882388981592
"Pierre Thomas","RB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,1,2,5.05578952083717
"Plaxico Burress","WR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,3.89360457508297
"Randy Moss","WR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,3.80967796734849
"Rashard Mendenhall","RB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,NA,72,3.66736285774061
"Ray Rice","RB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,76,107,99,6.51076570677438
"Reggie Bush","RB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43,37,11,2,5.66059468153336
"Reggie Wayne","WR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,25,9,51,5.69889954159033
"Ricky Williams","RB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3.87866456112075
"Riley Cooper","WR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,5.26202746892412
"Robert Meachem","WR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,7,3.8384326177942
"Roddy White","WR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,36,51,57,60,6.25042751362807
"Ronnie Brown","RB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3.87866456112075
"Ronnie Hillman","RB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,3.0946084953583
"Royce Adams","WR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,3.80967796734849
"Roy Helu","RB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,8,NA,4.55584841991961
"Roy Williams","WR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,3.87866456112075
"Rueben Randle","WR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,2,NA,4.30298837523588
"Ryan Broyles","WR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,3.32334373788318
"Ryan Grant","RB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,3.89845092931792
"Ryan Torain","RB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3.87866456112075
"Sammy Morris","RB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.84760769668094
"Santana Moss","WR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,3.87866456112075
"Santonio Holmes","WR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,23,3.86112238528876
"Shane Vereen","RB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,15,3,NA,3.80977908006477
"Shaun Hill","QB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,5.18255466159934
"Shonn Greene","RB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,21,44,4.59910875669089
"Sidney Rice","WR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,10,13,3.89682741331888
"Stevan Ridley","RB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,69,16,NA,6.58749173911667
"Steve Breaston","WR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.84760769668094
"Steve Johnson","WR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,25,44,3.39283497954289
"Steven Jackson","RB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,57,66,52,6.48237855784882
"Steve Slaton","RB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.84760769668094
"Steve Smith","WR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,23,NA,14,5.39338981599135
"Tarvaris Jackson","QB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3.87866456112075
"Terrance West","RB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,5.18255466159934
"Terrance Williams","WR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,5.14386295242308
"Terrell Owens","WR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3.87866456112075
"Thomas Jones","RB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3.87866456112075
"Tiki Barber","RB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3.87866456112075
"Tim Hightower","RB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29,3.89220121809841
"Tim Tebow","QB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,3.80967796734849
"Titus Young","WR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2,3.8407348317883
"T.J. Houshmandzadeh","WR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.84760769668094
"Toby Gerhart","RB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,NA,7,NA,4.81899625101885
"Tony Gonzalez","TE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,8,6,3.93716679303318
"Tre Mason","RB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,3.76825047168372
"Trent Richardson","RB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,24,NA,4.9962255130344
"Troy Williamson","WR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.84760769668094
"Vernon Davis","TE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,15,24,17,4.95635681745329
"Vick Ballard","RB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,3.31564082857644
"Vincent Brown","WR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,3.32334373788318
"Vince Young","QB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.84760769668094
"Visanthe Shiancoe","TE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.84760769668094
"Wes Welker","WR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,26,NA,NA,5.31006256334812
"Willis McGahee","RB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,1,3.83140579575492
