playername,position,team,points
Antonio Brown,WR,PIT,241.364
Todd Gurley,RB,LA,234.4091
David Johnson,RB,ARI,223.3925
Odell Beckham,WR,NYG,216.2336
Julio Jones,WR,ATL,214.377
Adrian Peterson,RB,MIN,213.8005
Lamar Miller,RB,HOU,209.3771
Jamaal Charles,RB,KC,205.7868
Ezekiel Elliott,RB,DAL,204.8415
DeAndre Hopkins,WR,HOU,194.3318
Cam Newton,QB,CAR,333.7124
Dez Bryant,WR,DAL,189.7303
Rob Gronkowski,TE,NE,177.3444
LeVeon Bell,RB,PIT,194.2712
Devonta Freeman,RB,ATL,192.9754
LeSean McCoy,RB,BUF,191.6838
A.J. Green,WR,CIN,182.1375
Allen Robinson,WR,JAC,181.6441
Mark Ingram,RB,NO,186.6958
Jordy Nelson,WR,GB,178.309
Eddie Lacy,RB,GB,182.4071
Brandon Marshall,WR,NYJ,174.4646
Russell Wilson,QB,SEA,316.7672
Alshon Jeffery,WR,CHI,174.3107
Aaron Rodgers,QB,GB,316.0337
Doug Martin,RB,TB,178.9642
Keenan Allen,WR,SD,168.8471
Mike Evans,WR,TB,167.6063
C.J. Anderson,RB,DEN,172.9237
Amari Cooper,WR,OAK,165.7531
T.Y. Hilton,WR,IND,164.2143
Brandin Cooks,WR,NO,163.7232
Sammy Watkins,WR,BUF,163.1242
Thomas Rawls,RB,SEA,167.8166
Jordan Reed,TE,WAS,145.7762
Matt Forte,RB,NYJ,162.3153
Randall Cobb,WR,GB,155.5828
Andrew Luck,QB,IND,297.5151
Carlos Hyde,RB,SF,161.0922
Demaryius Thomas,WR,DEN,154.9006
Latavius Murray,RB,OAK,159.683
Eric Decker,WR,NYJ,152.6855
DeMarco Murray,RB,TEN,158.1021
Jarvis Landry,WR,MIA,151.0371
Jeremy Hill,RB,CIN,156.183
Doug Baldwin,WR,SEA,149.6273
Greg Olsen,TE,CAR,135.9509
Jonathan Stewart,RB,CAR,153.4767
Jeremy Langford,RB,CHI,153.4441
Jeremy Maclin,WR,KC,146.6095
Golden Tate,WR,DET,144.6086
Donte Moncrief,WR,IND,144.4921
Drew Brees,QB,NO,286.2529
Kelvin Benjamin,WR,CAR,143.492
Michael Floyd,WR,ARI,143.3066
Emmanuel Sanders,WR,DEN,138.7218
Julian Edelman,WR,NE,138.5132
Matt Jones,RB,WAS,143.7946
Ryan Mathews,RB,PHI,143.7256
Larry Fitzgerald,WR,ARI,137.1222
Ben Roethlisberger,QB,PIT,278.3448
Frank Gore,RB,IND,141.1782
Delanie Walker,TE,TEN,122.6064
Ameer Abdullah,RB,DET,139.7544
Jordan Matthews,WR,PHI,133.6216
John Brown,WR,ARI,132.9434
Tyler Lockett,WR,SEA,132.6299
Rashad Jennings,RB,NYG,138.2733
Coby Fleener,TE,NO,119.3292
Blake Bortles,QB,JAC,273.5273
Melvin Gordon,RB,SD,137.2772
Michael Crabtree,WR,OAK,129.2412
Travis Kelce,TE,KC,116.9834
Giovani Bernard,RB,CIN,134.7506
Philip Rivers,QB,SD,270.9298
DeSean Jackson,WR,WAS,128.0892
Tavon Austin,WR,LA,127.7678
Gary Barnidge,TE,CLE,114.9299
Kirk Cousins,QB,WAS,268.2844
Danny Woodhead,RB,SD,132.0182
Allen Hurns,WR,JAC,125.9099
Carson Palmer,QB,ARI,267.6053
Eli Manning,QB,NYG,267.5849
DeVante Parker,WR,MIA,125.0945
Arian Foster,RB,MIA,131.066
Tyrod Taylor,QB,BUF,266.1117
Duke Johnson,RB,CLE,129.5631
Marvin Jones,WR,DET,123.3228
LeGarrette Blount,RB,NE,128.9506
Jameis Winston,QB,TB,263.4099
Matthew Stafford,QB,DET,263.0868
Torrey Smith,WR,SF,120.2728
T.J. Yeldon,RB,JAC,125.9828
Stefon Diggs,WR,MIN,118.8392
Antonio Gates,TE,SD,106.6725
Martellus Bennett,TE,NE,104.3525
Andy Dalton,QB,CIN,258.4914
Tyler Eifert,TE,CIN,103.6789
Julius Thomas,TE,JAC,103.6267
Ryan Fitzpatrick,QB,NYJ,257.7414
Kevin White,WR,CHI,115.2134
Zach Ertz,TE,PHI,102.9558
Derek Carr,QB,OAK,257.049
Willie Snead,WR,NO,112.5079
Justin Forsett,RB,BAL,118.2785
Isaiah Crowell,RB,CLE,117.8204
Sterling Shepard,WR,NYG,111.395
Alex Smith,QB,KC,253.6892
Charles Sims,RB,TB,116.9988
Vincent Jackson,WR,TB,110.8864
Jason Witten,TE,DAL,98.9661
Zach Miller,TE,CHI,98.017
Chris Ivory,RB,JAC,115.9263
Dwayne Allen,TE,IND,97.133
Corey Coleman,WR,CLE,108.7798
Tony Romo,QB,DAL,250.3345
Ryan Tannehill,QB,MIA,249.7568
Travis Benjamin,WR,SD,104.2707
Marcus Mariota,QB,TEN,246.0768
Matt Ryan,QB,ATL,244.8963
DeAngelo Williams,RB,PIT,108.1826
Josh Gordon,WR,CLE,101.3173
Charles Clay,TE,BUF,88.6066
Joe Flacco,QB,BAL,241.323
Markus Wheaton,WR,PIT,98.9002
Jimmy Graham,TE,SEA,85.4321
Rishard Matthews,WR,TEN,96.5959
Kamar Aiken,WR,BAL,96.5949
Bilal Powell,RB,NYJ,102.4574
Mohamed Sanu,WR,ATL,96.1767
Steve Smith,WR,BAL,95.6798
Pierre Garcon,WR,WAS,94.7275
Theo Riddick,RB,DET,100.1741
Terrance Williams,WR,DAL,93.9582
Eric Ebron,TE,DET,82.0019
Jay Ajayi,RB,MIA,99.3379
Michael Thomas,WR,NO,92.2683
Mike Wallace,WR,BAL,92.2055
Clive Walford,TE,OAK,80.1502
Devin Funchess,WR,CAR,91.6474
Jay Cutler,QB,CHI,233.9448
Derrick Henry,RB,TEN,97.3957
Tom Brady,QB,NE,232.8351
Phillip Dorsett,WR,IND,89.913
Kyle Rudolph,TE,MIN,77.1068
Darren Sproles,RB,PHI,94.8038
Jared Cook,TE,GB,74.8467
Laquon Treadwell,WR,MIN,86.4779
Shane Vereen,RB,NYG,92.5651
Kenny Britt,WR,LA,86.1839
Tyler Boyd,WR,CIN,85.8666
Robert Woods,WR,BUF,83.9955
Jordan Cameron,TE,MIA,71.2055
Brock Osweiler,QB,HOU,225.2641
Ladarius Green,TE,PIT,70.6911
Ted Ginn,WR,CAR,82.3332
James Starks,RB,GB,88.4135
Will Tye,TE,NYG,69.173
Benjamin Watson,TE,BAL,68.6356
Will Fuller,WR,HOU,80.2607
Anquan Boldin,WR,DET,79.9674
Cameron Brate,TE,TB,67.6132
Sammie Coates,WR,PIT,79.3233
Devontae Booker,RB,DEN,85.3001
Vance McDonald,TE,SF,67.0247
Jermaine Kearse,WR,SEA,77.7912
Tevin Coleman,RB,ATL,82.0651
Dion Lewis,RB,NE,81.6921
Kendall Wright,WR,TEN,74.7165
Cole Beasley,WR,DAL,73.9717
Tajae Sharpe,WR,TEN,72.9797
James White,RB,NE,78.8352
Jacob Tamme,TE,ATL,60.4272
Nelson Agholor,WR,PHI,71.8629
Jerick McKinnon,RB,MIN,77.5641
Austin Seferian-Jenkins,TE,TB,58.4773
Jaelen Strong,WR,HOU,70.376
Jace Amaro,TE,NYJ,58.2412
Chris Hogan,WR,NE,69.536
Davante Adams,WR,GB,69.3963
Terrance West,RB,BAL,74.381
Brandon LaFell,WR,CIN,68.1628
Bruce Ellington,WR,SF,68.0135
Seth Roberts,WR,OAK,67.8126
Javorius Allen,RB,BAL,73.7238
Richard Rodgers,TE,GB,55.1965
Tim Hightower,RB,NO,72.9334
Teddy Bridgewater,QB,MIN,208.6616
Christine Michael,RB,SEA,72.2741
Chris Thompson,RB,WAS,71.9116
DeAndre Washington,RB,OAK,71.3091
Jamison Crowder,WR,WAS,64.8197
Braxton Miller,WR,HOU,64.2887
Jordan Howard,RB,CHI,69.9216
Spencer Ware,RB,KC,69.3851
Lance Kendricks,TE,LA,51.2917
Shaun Draughn,RB,SF,68.9615
Albert Wilson,WR,KC,62.8542
Dorial Green-Beckham,WR,TEN,62.7189
Virgil Green,TE,DEN,49.8463
James Jones,WR,FA,60.9
Kenny Stills,WR,MIA,59.0123
Darren Fells,TE,ARI,46.5259
Chris Conley,WR,KC,57.9606
Danny Amendola,WR,NE,57.6141
Larry Donnell,TE,NYG,45.6761
Eddie Royal,WR,CHI,57.25
Garrett Celek,TE,SF,45.2235
Josh Doctson,WR,WAS,57.0251
Breshad Perriman,WR,BAL,57.019
Chris Johnson,RB,ARI,63.0311
Quinton Patton,WR,SF,56.8113
Brent Celek,TE,PHI,43.031
Jeff Heuerman,TE,DEN,42.8751
Benny Cunningham,RB,LA,60.8795
Luke Willson,TE,SEA,41.7637
Tyler Higbee,TE,LA,40.9658
Leonte Carroo,WR,MIA,52.7886
Paul Perkins,RB,NYG,58.8315
Ryan Griffin,TE,HOU,40.6581
C.J. Spiller,RB,NO,58.5071
Justin Hardy,WR,ATL,52.1975
Hunter Henry,TE,SD,40.2205
Kenneth Dixon,RB,BAL,58.1666
Victor Cruz,WR,NYG,51.8992
Darren McFadden,RB,DAL,56.8063
Robert Griffin,QB,CLE,192.6969
Jermaine Gresham,TE,ARI,37.4841
C.J. Prosise,RB,SEA,55.0187
Jarius Wright,WR,MIN,48.833
Mychal Rivera,TE,OAK,36.8937
Josh Ferguson,RB,IND,54.3302
Jesse James,TE,PIT,36.1925
Jack Doyle,TE,IND,36.1557
KaDeem Carey,RB,CHI,54.0692
Andrew Hawkins,WR,CLE,47.4941
Alfred Blue,RB,HOU,52.7367
Josh Hill,TE,NO,34.4855
Austin Hooper,TE,ATL,34.449
Crockett Gillmore,TE,BAL,33.9291
J.J. Nelson,WR,ARI,45.0987
Pharoh Cooper,WR,LA,45.0217
Wendell Smallwood,RB,PHI,50.9271
Alfred Morris,RB,DAL,50.6818
Andre Ellington,RB,ARI,50.3712
Marqise Lee,WR,JAC,44.1765
Maxx Williams,TE,BAL,32.2155
Philly Brown,WR,CAR,44.033
Mike Tolbert,RB,CAR,49.8786
Charcandrick West,RB,KC,49.5443
Marcedes Lewis,TE,JAC,30.9786
Cecil Shorts,WR,HOU,42.2404
Anthony Fasano,TE,TEN,29.5926
Mike Gillislee,RB,BUF,47.1536
Niles Paul,TE,WAS,28.7849
Tyler Kroft,TE,CIN,28.5742
Terrelle Pryor,WR,CLE,40
Terrelle Pryor,WR,CLE,40
Cameron Artis-Payne,RB,CAR,45.9575
Tyrell Williams,WR,SD,39.5067
Ronnie Hillman,RB,DEN,45.4304
MyCole Pruitt,TE,MIN,26.9204
Quincy Enunwa,WR,NYJ,38.3744
Gavin Escobar,TE,DAL,26.2491
Khiry Robinson,RB,NYJ,43.959
Dontrelle Inman,WR,SD,36.9273
Dwayne Harris,WR,NYG,36.7019
Robert Turbin,RB,IND,42.6282
C.J. Fiedorowicz,TE,HOU,24.2781
Rashad Greene,WR,JAC,36.0217
Charles Johnson,WR,MIN,35.998
Ed Dickson,TE,CAR,24.077
Kenyan Drake,RB,MIA,42.0449
Zach Zenner,RB,DET,42.0229
Malcolm Mitchell,WR,NE,35.7709
Andre Holmes,WR,OAK,34.6022
Blake Bell,TE,SF,22.6293
Chris Gragg,TE,BUF,22.4495
T.J. Jones,WR,DET,33.8598
Dion Sims,TE,MIA,21.5327
Ryan Hewitt,TE,CIN,21.3672
Jerome Simpson,WR,SF,32.8929
Darrius Heyward-Bey,WR,PIT,32.4679
Dexter McCluster,RB,TEN,38.1094
Vernon Davis,TE,WAS,19.8651
Ty Montgomery,WR,GB,31.7556
Rhett Ellison,TE,MIN,19.6751
Rueben Randle,WR,PHI,31.3917
Brian Quick,WR,LA,31.1658
Jim Dray,TE,BUF,18.9001
Tony Moeaki,TE,CHI,18.8301
Keith Marshall,RB,WAS,36.5473
Jonathan Williams,RB,BUF,36.1687
Brandon Pettigrew,TE,DET,18.0832
Brandon Coleman,WR,NO,29.7388
Craig Stevens,TE,TEN,17.5219
Bennie Fowler,WR,DEN,28.8397
Brice Butler,WR,DAL,28.6893
Devin Smith,WR,NYJ,28.5236
Sam Bradford,QB,PHI,170.7502
Dennis Pitta,TE,BAL,15.904
Andre Johnson,WR,FA,27.7026
Adam Humphries,WR,TB,27.5223
Jordan Norwood,WR,DEN,27.4667
Chris Givens,WR,PHI,27.3048
Jeff Janis,WR,GB,27.2934
Marcel Reece,RB,OAK,33.0874
A.J. Derby,TE,NE,14.8432
Cory Harkey,TE,LA,14.7892
Brandon Bolden,RB,NE,32.3405
Quan Bray,WR,IND,26.1479
Lee Smith,TE,OAK,14.1693
Blaine Gabbert,QB,SF,168.2856
Cody Latimer,WR,DEN,25.812
Michael Hoomanawanui,TE,NO,13.6979
Dezmin Lewis,WR,BUF,25.4308
James Hanna,TE,DAL,13.4872
Eli Rogers,WR,PIT,25.1988
Taylor Gabriel,WR,CLE,25.106
Josh Huff,WR,PHI,24.9547
Rashard Higgins,WR,CLE,24.833
Reggie Bush,RB,SF,30.886
James OShaughnessy,TE,KC,12.7534
Branden Oliver,RB,SD,30.6857
Rob Housler,TE,CHI,12.52
Nick Williams,WR,ATL,24.3532
Louis Murphy,WR,TB,24.2832
Ricardo Louis,WR,CLE,23.9634
Chris Moore,WR,BAL,23.7038
Ryan Grant,WR,WAS,23.6638
Matt Asiata,RB,MIN,29.7235
Kenbrell Thompkins,WR,NYJ,23.5911
Trey Burton,TE,PHI,11.4064
Demetrius Harris,TE,KC,11.309
Marquess Wilson,WR,CHI,23.1132
Erik Swoope,TE,IND,11.0034
Kenny Bell,WR,TB,22.8976
Stevan Ridley,RB,DET,28.8451
Paul Richardson,WR,SEA,22.686
David Johnson,TE,PIT,9.948
Steve Johnson,WR,SD,21.3068
Kellen Davis,TE,NYJ,9.0489
Justin Hunter,WR,TEN,20.755
Jake Stoneburner,TE,MIA,8.6577
DeAndre Smelter,WR,SF,20.5663
Jonathan Grimes,RB,HOU,26.5847
Nick Vannett,TE,SEA,8.0978
Jared Abbrederis,WR,GB,19.9732
C.J. Uzomah,TE,CIN,8.0583
Jaron Brown,WR,ARI,19.9499
Troy Niklas,TE,ARI,7.7338
Justin Perillo,TE,GB,7.5651
Harry Douglas,WR,TEN,19.4
Justice Cunningham,TE,LA,7.372
Andre Roberts,WR,DET,19.0886
Logan Paulsen,TE,WAS,7.0416
Jeremy Kerley,WR,DET,18.8895
Clay Harbor,TE,NE,6.9081
Josh Bellamy,WR,CHI,18.7254
Kyle Juszczyk,RB,BAL,24.7687
Fozzy Whittaker,RB,CAR,24.3987
Matt Spaeth,TE,FA,6.0926
Antonio Andrews,RB,TEN,24.0803
Jeff Cumberland,TE,SD,5.7144
Daniel Fells,TE,NYG,5.6089
Kenjon Barner,RB,PHI,23.5569
Levine Toilolo,TE,ATL,5.4613
Garrett Graham,TE,DEN,5.277
Luke Stocker,TE,TB,5.1583
Tyler Ervin,RB,HOU,23.1559
Gerald Christian,TE,ARI,5.0687
Derek Carrier,TE,WAS,5.0042
Brandon Myers,TE,TB,4.9428
Fitzgerald Toussaint,RB,PIT,22.8812
Ben Koyack,TE,JAC,4.7709
E.J. Bibbs,TE,CLE,4.7173
Jerell Adams,TE,NYG,4.4567
Javontee Herndon,WR,SD,16.2757
Zach Sudfeld,TE,NYJ,4.3149
Nate Washington,WR,NE,16.1701
Matt LaCosse,TE,NYG,4.1996
Andre Williams,RB,NYG,22.1144
Cooper Helfet,TE,SEA,4.0284
