"","player","pos","overall_rank","pos_rank","lag1_pos_rank","lag2_pos_rank","lag3_pos_rank","lag4_pos_rank","lag5_pos_rank","lag1_overall","lag2_overall","lag3_overall","lag4_overall","lag5_overall","lag1_price","lag2_price","lag3_price","lag4_price","lag5_price","pred_cost","ppg"
"1","Antonio Brown","WR",1.8,1.02,2,8,22,15,50,8.5,22.3,56.8,43.3,126.3,77,57,30,NA,3,88.4389667541708,18.5036
"2","Cam Newton","QB",3.1,1.03,15,11,5,5,24,115.8,87.5,50,16.5,153.6,NA,NA,NA,NA,1,82.0938699815972,25.6447076923077
"3","Aaron Rodgers","QB",3.3,1.03,2,3,2,1,2,21.2,18.5,24.7,2.1,9.3,104,109,106,NA,NA,94.8475713067012,24.5190923076923
"4","Odell Beckham Jr","WR",3.5,1.03,5,NA,NA,NA,NA,14.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,78.8881350819161,16.6128230769231
"5","Julio Jones","WR",5.2,1.05,3,5,4,2,26,9,15.1,21.8,14.9,68.9,NA,NA,NA,NA,16,88.3797699583417,16.4985923076923
"6","Le'Veon Bell","RB",6.3,1.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,76.9122149792439,14.2595461538462
"7","Todd Gurley","RB",6.3,1.06,26,NA,NA,NA,NA,54,NA,NA,NA,NA,13,NA,NA,NA,NA,77.2663482044834,17.9346846153846
"8","Russell Wilson","QB",8.3,1.08,6,15,12,18,NA,61.7,105.9,85.5,119.5,NA,NA,NA,NA,1,NA,76.8497886355911,24.2960846153846
"9","Adrian Peterson","RB",8.6,1.09,1,2,1,11,1,1.9,3.1,1.3,18.4,1.5,NA,97,NA,66,102,81.7790856351214,16.2825538461538
"10","David Johnson","RB",8.9,1.09,47,NA,NA,NA,NA,119.8,NA,NA,NA,NA,1,NA,NA,NA,NA,69.6746865203855,17.2435538461538
"11","Andrew Luck","QB",10.2,1.1,1,5,9,16,NA,11.5,47,71.4,108,NA,NA,NA,NA,31,NA,81.4752710558229,22.8721538461538
"12","DeAndre Hopkins","WR",10.8,1.11,14,47,42,NA,NA,31.6,117.6,105.9,NA,NA,42,5,2,NA,NA,70.8350998398301,15.1158846153846
"13","A.J. Green","WR",12.1,1.12,7,4,3,5,36,18.5,13.7,17.8,26.3,98.1,80,81,NA,NA,11,76.0958929952333,14.0401692307692
"14","Ezekiel Elliott","RB",12.7,2.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63.1057688437024,15.8292615384615
"15","Drew Brees","QB",15,2.03,4,2,1,3,5,50.4,13.9,19.1,7.3,27,85,106,101,102,76,77.3099368056689,22.0011846153846
"16","Lamar Miller","RB",15,2.03,12,32,21,NA,NA,21.2,78.2,32.7,NA,NA,65,2,23,NA,NA,68.0716414522154,16.1228538461538
"17","Dez Bryant","WR",15.9,2.04,1,3,2,13,14,8.4,11.7,14.4,39.5,39.5,84,78,58,36,46,80.6219053666542,14.5413076923077
"18","Rob Gronkowski","TE",17.4,2.05,1,3,2,2,10,12.2,30,44.4,19.7,98.1,NA,41,NA,NA,1,74.2019569832136,13.5058461538462
"19","Allen Robinson","WR",19,2.07,27,NA,NA,NA,NA,61.6,NA,NA,NA,NA,29,NA,NA,NA,NA,63.0043046087931,13.8112615384615
"20","Jamaal Charles","RB",20,2.08,4,3,3,10,5,4.1,3.5,4.7,17.7,5.1,NA,NA,NA,44,NA,67.5932148672799,15.8419615384615
"21","Jordy Nelson","WR",20.6,2.09,NA,7,19,11,47,NA,20.3,51,34.7,121.9,1,NA,26,NA,5,59.1601800322668,13.9060307692308
"22","Devonta Freeman","RB",22,2.1,42,42,NA,NA,NA,99.7,103.2,NA,NA,NA,1,NA,NA,NA,NA,55.4198318200862,14.9323923076923
"23","Ben Roethlisberger","QB",22.1,2.1,5,17,18,13,10,59.3,125,132,92.6,67.1,70,36,NA,NA,NA,64.7558758399092,21.3789769230769
"24","Keenan Allen","WR",23.3,2.11,23,11,NA,NA,NA,54.2,31.3,NA,NA,NA,NA,NA,NA,NA,NA,59.9399525944501,12.9722769230769
"25","Carson Palmer","QB",24.4,2.12,17,18,17,NA,NA,128.8,129.8,126.5,NA,NA,10,23,24,8,NA,55.2882960245365,20.5160230769231
"26","Eddie Lacy","RB",25.4,3.01,2,5,20,NA,NA,2.9,9.4,29.4,NA,NA,NA,NA,30,NA,NA,55.6305292861982,13.9192846153846
"27","Tom Brady","QB",27.1,3.03,7,6,4,2,3,64.4,52.4,42.5,4.6,18.8,87,68,93,108,NA,60.1037116492621,17.8886384615385
"28","Mike Evans","WR",27.4,3.03,13,41,NA,NA,NA,30.3,105.5,NA,NA,NA,NA,5,NA,NA,NA,42.6472537821397,13.0263692307692
"29","Alshon Jeffery","WR",28.2,3.04,11.5,9,47,NA,NA,27.8,25.3,118.1,NA,NA,44,NA,4,1,NA,45.0873096843368,13.4620230769231
"30","Amari Cooper","WR",29.1,3.05,19,NA,NA,NA,NA,42.5,NA,NA,NA,NA,20,NA,NA,NA,NA,40.3611851650616,12.5753384615385
"31","Doug Martin","RB",30,3.06,18,10,2,15,NA,37,18.9,2.9,25.4,NA,11,73,NA,10,NA,43.7913264165282,13.6471076923077
"32","Brandon Marshall","WR",30.2,3.06,22,6,5,4,15,50.6,17.1,23.7,24.4,40.7,20,74,45,40,33,42.0965965149217,13.4509384615385
"33","Mark Ingram","RB",30.2,3.06,14,40,35,36,22,28.4,94.7,82.8,88,46.8,35,1,6,8,23,42.1929920150187,14.2037
"34","Blake Bortles","QB",30.4,3.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,1,NA,NA,NA,37.6262391592224,21.1043384615385
"35","LeSean McCoy","RB",31.2,3.07,10,1,7,3,6,19.4,1.6,5.9,5.3,7.9,NA,NA,NA,NA,NA,43.1235411178647,14.6169307692308
"36","Eli Manning","QB",33.8,3.1,13,NA,14,8,13,103.4,NA,108.5,49.9,97.9,60,18,56,49,42,49.9498318371842,20.5923076923077
"37","Brandin Cooks","WR",34.6,3.11,10,30,NA,NA,NA,24.9,72.6,NA,NA,NA,37,13,NA,NA,NA,43.5674864109554,12.5452461538462
"38","Thomas Rawls","RB",37,4.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.9702336449676,13.3481461538462
"39","T.Y. Hilton","WR",38.2,4.02,9,24,25,NA,NA,23.8,58.7,63.3,NA,NA,57,15,7,NA,NA,43.175048989411,12.5120461538462
"40","Demaryius Thomas","WR",39.5,4.04,4,2,6,22,NA,11.4,8.2,26.1,58,NA,NA,NA,NA,NA,NA,37.2839850404216,11.7418153846154
"41","Kelvin Benjamin","WR",41,4.05,NA,35,NA,NA,NA,NA,85.5,NA,NA,NA,NA,NA,NA,NA,NA,30.339523403021,11.3088923076923
"42","Philip Rivers","QB",42.1,4.06,14,14,24,11,4,110.1,103.1,159.7,73.1,25.1,NA,42,18,72,68,33.4820631012789,20.9100461538462
"43","Matt Forte","RB",42.4,4.06,9,4,11,6,13,14.6,4.2,12.1,10.3,23.5,68,84,62,NA,41,41.6838814840948,12.4759
"44","Sammy Watkins","WR",43.6,4.08,26,39,NA,NA,NA,61.1,99.9,NA,NA,NA,22,16,NA,NA,NA,30.5336712822029,12.4946153846154
"45","C.J. Anderson","RB",43.7,4.08,6,NA,NA,NA,NA,8.5,NA,NA,NA,NA,NA,1,NA,NA,NA,33.2176964690088,12.7040846153846
"46","Tony Romo","QB",44,4.08,9,10,11,10,6,77.4,83,79.7,62.6,41.4,70,64,67,48,40,50.3064025185634,19.0308384615385
"47","Latavius Murray","RB",46.2,4.1,15,NA,NA,NA,NA,31.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.0098233693136,11.9015692307692
"48","Randall Cobb","WR",47.1,4.11,8,10,9,NA,NA,19,28.1,32,NA,NA,NA,NA,NA,NA,NA,34.5676453617027,11.8801230769231
"49","Jarvis Landry","WR",48,4.12,21,NA,NA,NA,NA,48.3,NA,NA,NA,NA,23,NA,NA,NA,NA,30.3517514358483,11.5519615384615
"50","Carlos Hyde","RB",48.3,4.12,17,37,NA,NA,NA,36.4,90.2,NA,NA,NA,NA,9,NA,NA,NA,32.4123065503273,12.5239076923077
"51","Derek Carr","QB",48.8,5.01,25,NA,NA,NA,NA,161.9,NA,NA,NA,NA,17,NA,NA,NA,NA,27.4023206995987,19.7806692307692
"52","Jordan Reed","TE",50.1,5.02,NA,8,NA,NA,NA,NA,83.2,NA,NA,NA,NA,1,NA,NA,NA,29.7492605181949,11.3475846153846
"53","Julian Edelman","WR",51,5.03,24,26,63,NA,NA,55.1,62.4,161.5,NA,NA,24,19,NA,NA,NA,31.1913288184582,10.7967384615385
"54","DeMarco Murray","RB",52.1,5.04,8,8,19,7,52,13,13.2,27.4,11.7,149.3,69,71,32,69,NA,38.8806607668795,12.0394384615385
"55","Matthew Stafford","QB",52.4,5.04,11,4,8,4,11,87.9,39.2,66.7,12,78.1,71,75,88,NA,33,44.7759718863818,20.1741846153846
"56","Jeremy Langford","RB",54.2,5.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.3555781855826,11.6934076923077
"57","Golden Tate","WR",55,5.07,20,31,36,NA,NA,45.2,75.4,91.6,NA,NA,29,11,1,NA,NA,30.5174393312199,11.4813692307692
"58","Dion Lewis","RB",56.5,5.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.4822641316744,10.7009230769231
"59","Greg Olsen","TE",58.4,5.1,3,10,10,12,17,50.9,90.6,100.9,107.7,144.6,18,4,5,NA,5,33.3736611903632,10.6763615384615
"60","Andy Dalton","QB",58.7,5.11,24,16,15,NA,NA,160.7,121.3,119.6,NA,NA,8,28,20,11,NA,27.7575738859232,19.9566769230769
"61","Doug Baldwin","WR",58.9,5.11,NA,57,NA,NA,NA,NA,157.9,NA,NA,NA,1,NA,NA,NA,NA,24.4410366800776,11.4552
"62","Jeremy Maclin","WR",60.6,6.01,18,27,NA,24,25,41.3,65.3,NA,62.7,62.4,12,13,NA,30,18,27.5799747440793,11.1808461538462
"63","Matt Jones","RB",61,6.01,51,NA,NA,NA,NA,132.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.2704468840902,11.6152230769231
"64","Jameis Winston","QB",62.4,6.02,23,NA,NA,NA,NA,157.7,NA,NA,NA,NA,25,NA,NA,NA,NA,26.2161334994018,20.2852923076923
"65","Kirk Cousins","QB",62.6,6.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,3,NA,NA,NA,24.4335594053928,20.6181923076923
"66","Jeremy Hill","RB",64.2,6.04,7,41,NA,NA,NA,9.5,97.7,NA,NA,NA,NA,1,NA,NA,NA,24.1126843442186,11.9512692307692
"67","Ryan Mathews","RB",64.6,6.05,31,21,26,13,20,70.5,42.7,48.7,20.4,44.4,6,30,10,35,25,22.130591221762,11.1978461538462
"68","Michael Floyd","WR",64.8,6.05,51,21,43,NA,NA,127.2,49.5,112.3,NA,NA,4,17,1,NA,NA,22.0613601695474,10.8535538461538
"69","Jonathan Stewart","RB",66.1,6.06,24,52,NA,38,37,48,142.2,NA,95.1,93.5,16,NA,NA,20,10,23.1637200676187,11.7904384615385
"70","Donte Moncrief","WR",67.1,6.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.1006493698322,10.8798307692308
"71","Allen Hurns","WR",70.1,6.1,64,NA,NA,NA,NA,158.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.8509315055819,9.71767692307692
"72","Eric Decker","WR",70.8,6.11,41,37,24,18,NA,103.5,89.7,62.9,48,NA,6,10,18,21,NA,22.9424786312456,11.6109615384615
"73","Tyrod Taylor","QB",73.6,7.02,20,NA,NA,NA,NA,147.3,NA,NA,NA,NA,7,NA,NA,NA,NA,19.8117941298705,20.4555615384615
"74","Frank Gore","RB",74.9,7.03,13,22,18,20,11,26.6,45.6,24.4,41.3,18.8,41,44,61,29,62,27.4494448881305,10.8710384615385
"75","Jay Ajayi","RB",75,7.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.9493269977461,7.03993076923077
"76","Larry Fitzgerald","WR",75.3,7.03,36,15,7,3,4,89.5,40.3,28.9,22.5,15.6,10,46,44,65,92,23.1563596020906,10.8075307692308
"77","Emmanuel Sanders","WR",75.7,7.04,16,16,46,NA,57,35.9,43,116.3,NA,146.6,36,17,4,NA,NA,23.8162167484071,10.6339538461538
"78","Chris Ivory","RB",76,7.04,21,51,31,NA,NA,42,139.2,68.4,NA,NA,16,1,16,NA,NA,23.0296147810951,8.82430769230769
"79","Tyler Eifert","TE",76.3,7.04,9,NA,17,NA,NA,98.2,NA,152.1,NA,NA,5,NA,NA,NA,NA,19.432744518574,8.31065384615385
"80","Matt Ryan","QB",76.8,7.05,8,7,6,6,9,74.6,62.6,54.5,34.2,61.3,61,58,75,71,NA,40.3045882366295,18.8885
"81","Melvin Gordon","RB",77.7,7.06,20,NA,NA,NA,NA,39.8,NA,NA,NA,NA,36,NA,NA,NA,NA,25.5935331126837,10.5458538461538
"82","Travis Kelce","TE",78.8,7.07,4,18,NA,NA,NA,55.7,154.2,NA,NA,NA,17,NA,NA,NA,NA,23.0845584920311,9.02340769230769
"83","Jordan Matthews","WR",79,7.07,11.5,50,NA,NA,NA,27.8,124.7,NA,NA,NA,37,NA,NA,NA,NA,25.2400768587878,10.3250384615385
"84","Ameer Abdullah","RB",79.1,7.07,22,NA,NA,NA,NA,43.5,NA,NA,NA,NA,11,NA,NA,NA,NA,19.5734035189367,10.6617384615385
"85","Duke Johnson","RB",81.4,7.09,44,NA,NA,NA,NA,109.4,NA,NA,NA,NA,8,NA,NA,NA,NA,18.4136759801423,9.97153846153846
"86","Delanie Walker","TE",81.9,7.1,10,NA,NA,NA,NA,106,NA,NA,NA,NA,3,1,NA,NA,NA,19.4927920672795,9.63959230769231
"87","Coby Fleener","TE",84.3,7.12,NA,NA,NA,16,NA,NA,NA,NA,148.9,NA,1,NA,NA,1,NA,16.4131970756075,9.2183
"88","Marcus Mariota","QB",85.3,8.01,22,NA,NA,NA,NA,155.5,NA,NA,NA,NA,26,NA,NA,NA,NA,19.017244598491,18.9962692307692
"89","Giovani Bernard","RB",85.9,8.02,35,9,24,NA,NA,82.4,17.6,41.8,NA,NA,13,66,17,NA,NA,18.7779082714296,10.3411923076923
"90","John Brown","WR",86.3,8.02,32,NA,NA,NA,NA,74,NA,NA,NA,NA,5,NA,NA,NA,NA,16.5223301518514,10.3514538461538
"91","Tyler Lockett","WR",87,8.03,61,NA,NA,NA,NA,153.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.6181233594507,9.95395384615385
"92","DeVante Parker","WR",87.4,8.03,47,NA,NA,NA,NA,116.2,NA,NA,NA,NA,2,NA,NA,NA,NA,16.5448643649062,9.56954615384615
"93","Danny Woodhead","RB",88.9,8.05,39,39,42,NA,45.5,92.8,94.2,111.7,NA,132.9,1,2,NA,NA,3,19.7475180746454,10.1391615384615
"94","Justin Forsett","RB",89.9,8.06,11,NA,NA,NA,NA,20.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.1719564258701,9.46446923076923
"95","Arian Foster","RB",90.5,8.06,19,11,4,1,3,39,22.1,5.1,2,2.9,23,NA,NA,NA,NA,23.4184109036365,10.6413692307692
"96","Kevin White","WR",93.6,8.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.5235204697534,8.96706923076923
"97","Ryan Tannehill","QB",93.9,8.1,12,NA,NA,NA,NA,91.6,NA,NA,NA,NA,45,NA,9,NA,NA,22.6750428310671,19.1604
"98","Rashad Jennings","RB",94.4,8.1,30,18,NA,NA,NA,67.8,36.4,NA,NA,NA,28,22,NA,NA,1,18.642640961803,10.6724846153846
"99","DeSean Jackson","WR",97.2,9.01,30,23,23,21,9,71.2,57,58.5,55.2,27.5,13,26,26,37,37,18.4141789048898,9.74206153846154
"100","Marvin Jones","WR",98.2,9.02,56,NA,NA,NA,NA,140.4,NA,NA,NA,NA,4,NA,NA,NA,NA,14.4764825332374,9.11030769230769
"101","Ladarius Green","TE",98.3,9.02,NA,13,NA,NA,NA,NA,134.2,NA,NA,NA,NA,NA,NA,NA,NA,12.9286014085248,6.95339230769231
"102","DeAngelo Williams","RB",98.8,9.03,49,45,29,31,23,125,113.7,60.2,76.2,49.7,8,2,13,8,40,17.1157410191486,8.41554615384615
"103","Michael Crabtree","WR",99.8,9.04,58,22,62,44,41,143.2,52.4,159.6,114.8,108.6,1,31,NA,7,15,18.3907071613921,10.0735923076923
"104","T.J. Yeldon","RB",100.3,9.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,NA,NA,NA,NA,15.9651122638503,9.72734615384615
"105","Tevin Coleman","RB",100.9,9.05,36,NA,NA,NA,NA,84.5,NA,NA,NA,NA,3,NA,NA,NA,NA,15.0994446467758,6.27620769230769
"106","Sterling Shepard","WR",103.7,9.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.9630518561304,8.64143846153846
"107","Gary Barnidge","TE",104.5,9.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.7837226576413,8.2388
"108","Derrick Henry","RB",105.7,9.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.4464943309486,7.51065384615385
"109","Julius Thomas","TE",107.6,9.12,12,2,NA,NA,NA,125,26.6,NA,NA,NA,NA,NA,NA,NA,NA,15.5577584878189,7.96678461538462
"110","Joe Flacco","QB",108.2,9.12,18,NA,20,17,16,142.7,NA,139.2,115.1,112.1,20,22,33,31,42,17.7198088483818,18.5539461538462
"111","Markus Wheaton","WR",108.8,10.01,37,48,60,NA,NA,90,122.9,158.5,NA,NA,NA,1,NA,NA,NA,16.113271395069,7.75572307692308
"112","Stefon Diggs","WR",111.2,10.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.4461548869341,8.96961538461538
"113","Charles Sims","RB",111.8,10.04,56,NA,NA,NA,NA,150.8,NA,NA,NA,NA,1,NA,NA,NA,NA,12.4295869239772,8.84876923076923
"114","LeGarrette Blount","RB",113,10.05,28,49,NA,45,15,61.7,129.8,NA,122,28.7,11,1,NA,2,35,14.9263984865019,8.96894615384615
"115","Jay Cutler","QB",113.7,10.06,21,9,16,12,17,149.4,73.3,125.8,80.8,126,37,39,22,30,11,21.2556131250902,18.0367076923077
"116","Steve Smith Sr.","WR",115.2,10.07,NA,NA,NA,NA,53,NA,NA,NA,NA,139.6,8,NA,NA,NA,NA,12.0664262480004,7.49148461538462
"117","Isaiah Crowell","RB",115.4,10.07,37,NA,NA,NA,NA,85.6,NA,NA,NA,NA,5,NA,NA,NA,NA,12.9788596272128,9.01816923076923
"118","Corey Coleman","WR",116.1,10.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.89785766077664,8.1221
"119","Torrey Smith","WR",117.6,10.1,50,25,20,23,NA,124.4,59.6,53.8,61.8,NA,4,25,31,NA,NA,16.0884932125739,9.24999230769231
"120","Jimmy Graham","TE",119,10.11,2,1,1,1,6,32,8.2,22.6,13.3,65,40,69,41,35,13,22.1583562884827,6.70083846153846
"121","Ryan Fitzpatrick","QB",120.2,10.12,NA,NA,NA,NA,23,NA,NA,NA,NA,152.7,2,16,NA,6,2,12.5763301811043,19.7343153846154
"122","Brock Osweiler","QB",122.1,11.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.0921428463858,17.5462538461538
"123","Dorial Green-Beckham","WR",122.8,11.03,59,NA,NA,NA,NA,150.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.291257007536,6.39682307692308
"124","Travis Benjamin","WR",123.8,11.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.99358846640568,7.8953
